stage,blastomeres,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord
  5-6,9.88,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.88,4.28,0,0,6.69,0,0
 14-21,0,0,11.67,0,2.12,2.25,7.3,0,0,2.47,0,7.29,25.12
 24-34,0,0.77,3.68,0,0,0,3.59,0,0,0,0,7.54,6.51
 36-46,0,0,3.95,0,0,0,10.74,1.52,1.65,0,0,4.52,4.18
 48-58,0,1.54,1.67,0,0,0,0.44,0,0.47,0,0,2.26,0.47
 60-70,0,1.92,1.78,0,0.64,0,1.42,0.57,2.16,0,0,0,4.84
 72-82,0,3.15,3.59,0,0,0,0,0,2.14,0.61,0,2.29,0
 84-94,0,3.33,0.99,0,0,0,3.85,0,0.95,0,0,0,0
 96-106,0,1.65,5.53,0.74,0,0,1.77,0,0.59,0,0,0,0
108-118,0,0.59,1.26,1.08,0,0,0,0,1.2,0,0,1.86,2.12
120,0,1.56,0,0,0,0,0,0,0,0,0,1.87,1.34
