stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.94,157.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.7,276.56,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.11,0,4.88,0,0,11.5,0,0,0,0,3.56,0,0,0,0,0,0,0,0,90.91,4.91,0,0,80.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,48.17,0,0,0,57.62,0,0,0,7.85,0,0,0,0,0,0
 14-21,0,0,0,0,1.22,0,0,0,0,1.88,0,0,0,0,0,0,0,2.05,0,0.93,593.86,0,0.85,0,0,4.84,0,2.6,0,0.83,49.11,0,0,0,0
 24-34,0,0,0,0,24.88,0,13.35,0,0,5.03,0,0,0,0,0,3.11,0,4.43,0,7.82,7397.35,0,3,4.48,0,6.06,0,0,0.85,0,440.38,0,5.33,0,0
 36-46,0,0,0,0,0,0,15.39,0,0,815.3,0,0,3.66,0,0,6.07,0.85,19.68,0.92,8.21,12901.67,3.36,6.83,0,0,1.06,0.81,0,1.4,0,462.9,0,0,0,7.99
 48-58,0,0,0,0,1.16,0,26.39,5.05,0,215,0,0,0,0,0,6.33,0,15.74,0,0.38,5506.25,0,0,0.45,0,0,0,0,0,0,36.56,0,1.1,0,4.97
 60-70,0,0,0,0,0,0,58.2,0.93,0,3.54,0,0,0,0,0,6.47,0,11.23,0,0,5659.45,0,0,0,0,0.61,0,0,0,0,84.51,0,0,0,0
 72-82,0,0,88.68,0,96.39,0.88,39.57,0,0,19.44,15.68,0,0,0,0,0,0,21.07,1.39,0,6947.61,0,5.46,0,0,0,0,0,0,0,2.86,0,2.24,0,0
 84-94,0,0,1354.56,0,2.08,0,70.15,0,2.28,10.79,105.18,1.95,0.67,17.7,0,0.83,0,14.32,1.32,0,6756.91,0,2.04,1040.09,0,1.44,0,0,0,0,3.74,3.4,1.67,0,8.64
 96-106,0,0,1022.94,0,0,5.4,122.68,2.9,0,12.3,155.99,0,0.87,0,3.16,0,0,20.94,4.02,1.54,2136.13,0,2,1.77,0,4.6,0,0,0,0,1.99,1.86,3.17,0,0.73
108-118,0,0,523.37,0,1.71,3.26,17.38,4.57,0.98,4.81,232.53,0,1.93,0.5,0,0,0,5.27,1.03,0,5484.41,0,0,0.43,0,10.12,0,0,0,0,1.14,0,0,0,10.11
120,0,0,82.04,0,1.31,0,23.62,0,0,15.04,116.95,0,1.11,0,4.83,32.68,0,7.8,0,3.52,7742.93,0,0,0,0,1.43,0,0,0,0,174.69,0,0,2.31,0
