stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,3.32,0,0,0,0
 24-34,0,0,2.7,0,0,0,0,0,0,0,1.25,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,3.85,0,0,0,0,9.89,0,0,12.94,0,37.11,12.76,0,0,0,0,0,0,1.1,0,0,0,0
 48-58,0,0,1.59,0,0,0.78,0,0,0,0,2.53,2.99,88.04,39.2,1.88,0,0,1.81,2.77,0,0,0,0,0,0
 60-70,0,0,10.8,3.41,0,0,1.06,4.9,0,0,18.27,0,65.05,41.67,0,0,0,0,0,0,7.51,0,0,0,3.07
 72-82,0,0,11.35,0,0,3.19,0,0.5,1.29,0,91.08,0,174.16,33.98,5.45,0,0,0.58,0,0,0,0,0,0,5.88
 84-94,7.23,0,21.83,0,0,4.61,2.28,1,0,0,69.9,0,100.05,52.02,0,1.29,0,5.96,0,0,1.68,0,2.2,0.71,2.83
 96-106,1.97,0,19.15,0,0,11.16,0,1.52,0,7.37,88.54,0,123.16,55.82,0,18.08,2.79,1.63,0,0,0,0.83,0,0,0
108-118,2.71,1.75,17.56,0,0.69,4.42,2.07,0,1.03,4.95,109.82,0,78.36,137.23,0,0,0,1.17,0,0,0,0,0,0,0
120,16.18,0,32.48,0,0,19.59,0,7.14,0,0,48.09,0,69.03,103.7,0,0,0,0,0,0,0,0,0,0,0
