stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.37,3.78,0,10.42,0,0,0,0,0,0,0,0,0
 10-12,0,3.59,0,181.14,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,73.55,0,0,7.43,0,0,34.75,0,0,0,0,0,0
 14-21,0,0,0,0,6.95,0,0,0,0,0,0,1.08,0,0,10.97,0,0,0,0,0,0,3.29,0,0,10.87,0,1.09,0,0,0,0,5.14,4.02,0,0,0,0
 24-34,0,0,2.51,0,0,0,0,3.45,0,0,0,0,0,0,24.91,0,0,0,0,0,1.77,4.98,0,0,36.57,0.92,2.37,0,0,4.65,0,0,8.55,0,0,0,0
 36-46,0,0,0,0,0,0,0,13.66,1.27,0,0.84,0.63,0,0,13.28,0,0,0,0,0,1.8,5.16,18.58,4.06,65.82,0,0,0,0,3.87,0,0,23.05,0,0,0,1.97
 48-58,0,0,0,0,0,1.79,0,38.03,9.7,0,0.5,1.56,0,0,3.54,0,0,0,0.71,0,15.29,13.61,30.63,1.83,20.71,0.39,2.08,0,2.17,0,0,0,23.56,20.48,0,5.1,13.25
 60-70,0,0,0,0,0,0,0,69.12,2.21,0,1.96,16,0,0,0.71,0,0,0.67,3.3,0,17.16,48.83,270.59,0,58,0,1.44,0,0,4.43,0,0.76,13.7,254.36,0,352,21.68
 72-82,0,0,0,0,1.65,0,0,62.82,8.02,0,0,25.83,4.13,0,2.94,0,0,5.31,0,5.37,1.82,80.39,264.11,2.86,74.31,0,2.12,0,11.04,0,0,10.07,16.25,335.75,4.21,1003.87,13.96
 84-94,0,0,0,0,1.47,1.65,0,114.79,27.18,0,0,27.87,0,0,1.12,1.96,0,7.77,5.45,0,29.17,43.4,226.26,10.14,43.34,0,4.99,0,8.78,4.98,0,1.02,29.13,447.16,1.35,1543.05,5.42
 96-106,0,0,0,0,0.57,0,0,59.26,26.78,0,4.59,51.11,1.75,0,0.77,0,1.54,12.5,2.96,0.57,19.27,79.88,116.8,11.06,34.13,0,8.04,0,20.27,7.25,0,2.18,14.55,387.72,0,1851.5,23.64
108-118,0,0,1.18,0,5.26,1.65,0,116.85,16,0.76,4.04,25.71,0.96,0,0,0,0,14.93,3.41,0,28.27,126.96,71.58,0.53,39.87,2.13,10.36,0,54,3.51,0,0.68,4.08,233.65,2.02,1272.48,30.56
120,0,0,0,0,3.89,0,5.36,32.84,2.35,0,4.21,19.33,1.94,0,0,0,0,6.41,1.07,0,0,49.31,154.45,0,61.82,0,6.04,0,29.73,0,0,0,4.07,215.12,0,1884.73,7.16
