stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.88,0,0,0,0,0,4.7,0,0,0,0,0,0,0,10.63,9.03,0,0,7.53,0,0,0,0,0,0
 10-12,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,0,0,0,4.52,0,0,0,0,0
 14-21,0,0,0,0,1.05,0,2.07,0,0,0,0,0,0,0,7.81,0.82,1.51,0,0,0,0,0,0,0,0
 24-34,0,1.47,1.12,0,0,0,2.11,0,0,0,0,0.75,0,0,38.47,0,6.42,0.64,0,0,16.89,0,0,0,0
 36-46,0,1.4,0,0,0,0,0.61,0,0,0,0,0,0,0,139.81,0,6.04,0,0,0,29.15,0,0.91,0,0
 48-58,0,0,0,0,0,0,8.41,0.5,0,0,0,1.51,0,0,213.92,0,5.83,0,0,0,48.62,0,0,0,0
 60-70,0,0,0,0,0,0,36.96,1.21,0.62,0,0,0,6.48,0.68,481.57,0,11.72,0,0,1.94,51.95,0,0,0,6.68
 72-82,0,0.76,0,3.97,0,0,69.43,3.07,1.51,0,0,11.09,0,1.25,768.98,0,7.6,0,0,0,24.17,0,0.5,0.91,0
 84-94,0,1.79,0,0,0,0,78.49,4.49,5.99,0.9,0,3.65,0,0,410.1,3.16,9.29,0,0,3.58,14.67,0,0,0,0
 96-106,0,0.99,0,1.85,0,0,81.32,3.69,2.16,0,0,3.99,1.05,0,480.09,0,9.75,0,0,0,9.31,2.47,0,0,0
108-118,0,0,0,5.71,0,1.57,100.93,0,2.05,0,0,2.74,0,0,565.62,0,13.87,7.39,0,1.47,19.14,2.07,2.17,0,0
120,0,0,0,4.53,0,0,114.03,0,0,0,5,6.86,0,0,730.34,0,2.89,0,0,0,32.54,0,0,0,0
