stage,eye,glial,neural,paraxial_mesoderm,spinal_cord,vasculature
 10-12,0,0,0,10.78,0,0
 24-34,0,0.69,2.8,0,0,0
 36-46,0,0,0,0,1.25,0
 48-58,0,0,0.45,0,0,1.33
 60-70,2.32,0.71,14.81,0,0,0
 72-82,0,0,7.21,0,0,0
 96-106,0,0,0,0,3.24,0
108-118,0,1.51,0.82,0,0,0
