stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,89.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0
  5-6,0,446.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.73,0,9.54,0,0,0,47.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.06,0,0,0,131.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.75,0,0,0,35.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.49,0,0,0,33.52,0,0,16.55,0,0,0,0,0,0,0
 14-21,0,0,0,3.08,6.23,1.07,0,1.11,0,0,1.33,2.02,0,0,0,0,0,0,0,0,6.66,0,0,4.42,34.39,0,0,0,0,0,2.46,0,6.86,6.96,10.42,0,0,0,0
 24-34,0,0,0.81,0,2.4,0,0,2.61,0.61,0,0,0,0,0,0,1.03,0,0,0,0,7.23,0,0,3.35,38.2,0.76,1.36,0,0,0,2.18,0,0,0,9.15,0,0,0,0
 36-46,0,0,0,0,0.98,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,1.65,0,0,1.06,13.89,0,0.65,0,0,0,0,0,0,0,0.75,0,0,0,0
 48-58,0,0,0,0,0.54,0,0,4.65,0,0,4.89,0.47,0,0,0,0,0.71,0,0,0,4.58,0.86,0,3.41,24.12,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0.94
 60-70,0,0,0,0,0,0,0,12.82,0,0,3.78,2.05,0,0,0,0,0,0,0,0,3.12,0,0,5.69,8.71,5.57,0,0,0,0,15.78,0,0,0,0,0,2.1,0,0
 72-82,0,0,0,0,2.15,25.04,0,7.7,0.53,0.5,26.32,0,0,8.66,7.02,0,0,0,0.59,0,32.14,0.59,4.58,5.64,42,0.52,0,0.88,0,0.84,1.96,0,0,0,9.3,0,0,1.78,2.54
 84-94,0,0,0,0,1.97,3.39,0,2.72,0,0,9.24,2.73,0.99,1,0.75,0,0,0,0,1.64,17.97,0,0,3.57,20.13,3.47,0,0,0,0,0,0,0,0,0.94,1.38,2.03,0,4.71
 96-106,0,0,0,0,7.07,21.15,2.28,8.86,0,8.29,17.95,2.21,0,0,1.2,0.77,0,0,0,0,7.7,0,0,0,11.04,0,0,0,0,0,6.7,0,0,0,0,0,0.6,2.43,0
108-118,0,0,0,0,4.2,5.02,25.34,14.39,0,0.78,19.47,1.04,0,0.52,1.91,1.33,1.77,0,2.35,0.52,24.33,0,0,5.5,31.75,0,0.45,0,0,2.63,9.46,0,0,0,0.48,0,5.08,0,7.22
120,0,0,0,0,3.18,16.83,1.61,2.13,0,4.1,20.49,14.77,0,0,14.86,0,0,2.05,3.69,0,29.98,16.43,0,7.33,29.16,0,0,1.66,0,0,12.52,0,0,0,0,6.76,19.96,0,4.37
