stage,exocrine.pancreas,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
 14-21,0,0,0,1.11,0,0,0.9,0,0,2.02,0,0,0,0.86,0,2.95,0
 24-34,0,0,0,0,0,0,0,9.17,0,0,0,0,1.23,0,2.37,1.74,0
 36-46,0,0,0,0,0,0,0,4.1,2.5,0,0,0,0,0,0.62,0,0
 48-58,0,0.92,0,0,0,0,0,2.68,0,2.98,0,0,0,0,0,0,0
 60-70,0,6.41,0,0,0,0,0,4.75,0,1.82,0,0,1.77,0,0.58,0,0
 72-82,0,0.55,1.16,0,0,0,0,3.04,0,2.61,0,1.67,0,0,1.17,0,0
 84-94,0,0,0,0,0,0,0,2.37,0,0.8,2.14,0,2.01,0,0,4.15,0.8
 96-106,0,0,0,0,0,2.07,0,0,0,0,0.65,0,0,0,0,0,0
108-118,1.55,0.76,0,3.49,0.48,0,0,1.58,0,2.5,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,35.61,0,5.05,0,0,0,0,0,0,0
