stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,29.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,12.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.24,2.68,1.28,0,0,3.2,0.99,0,0,5.86,0,0,0,7.47,5.53,0,36.19,0,87.98,19.19,76.29,0,0,0,0
 24-34,0,0,0,11.36,0,0,4.36,2.34,17.7,3.02,0,0,8.43,0,0,19.06,16.24,4.04,0,0,0,0,32.58,139.48,0,0,0,0
 36-46,0,0,0,0,0,2.01,4.18,17.57,10.71,1.66,0,0,32.19,0,0,36.48,40.21,1.44,0,0,0.68,0,0,233.67,0,0.58,0,0
 48-58,0,0,0,2.12,0,2.32,1.62,8.91,19.02,0,0.39,0,29.31,0,0.74,15.84,40.5,0.44,0,0,0,3.76,0,361.65,0,1.34,0,5.92
 60-70,0,0,0,0,0,10.02,2.66,20.41,33.13,0,0,0,38.64,0,0,16.62,66.07,0,1.23,0,0,0,0,527.9,0,0,0,0
 72-82,0,0,0,0,0,9.29,5.38,23.31,26.19,3.29,0.59,0,20.27,0,4.24,7.66,85.1,0,0,0,0,0,0,428.02,1.21,0,2.19,0
 84-94,0,0,1.16,1.6,0.62,14.69,22.44,16.57,21.59,2.19,0,0,25.33,0,4.59,10.06,87.08,0.67,0,0,1.28,0,0,268.72,0,1.33,2.69,5.25
 96-106,0,0,0,1.23,7.62,0.67,3.73,9.39,23,0.94,0,4.97,17.78,0,0.93,3.85,49.68,0,0,0,4.64,0,0,130.56,0,0,4.58,1.24
108-118,0,0,1.03,2.31,2.06,7.13,2.1,5.85,17.26,1.96,0,0,10.55,0,2.65,2.94,73.43,0,0,0,0.41,0,0,80.25,0,0,7.22,3.61
120,0,0,0,0,0,2.22,2.84,3.1,17.83,0,0,0,6.28,1.65,0,1.38,76.51,0,0,0,0,0,0,66.16,0,0,2.01,0
