stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,325.44,4622.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.45,0,0,0,0,0,0,0,0,0,0
  5-6,762.46,5633.28,0,94.22,0,0,0,0,0,0,0,0,0,211.85,0,0,0,0,0,0,0,0,0,0,986.11,0,0,0,88.02,140.16,0,0,0,0,0,0,0,0,0,0
  7-9,107.7,56.37,0,353.84,0,0,0,133.11,0,0,0,0,0,334.09,0,0,0,0,0,0,0,0,0,0,1020.89,12.61,0,0,294.65,9.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.88,0,13.29,0,67.36,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,278.9,12.48,0,0,88.41,0,0,0,14.08,5.78,0,0,0,0,0,0
 14-21,0,0,0,2.03,22.94,0.83,0,16.35,0,0,0,7.96,0.85,1,0.96,3.24,0,0,8.79,1.96,11.94,0,0,11.25,141.93,0.86,0.93,0,0.97,1.07,0,14.44,1.66,29.14,38.81,0,0,1.07,0,0
 24-34,0,0,0,1.03,4.02,1.28,0,9.54,0,0.8,0,0.72,0,0.93,2.08,5.56,0,0,5.84,0.66,8.92,0,1.63,4.51,180.8,0,0.69,0,0,15.65,0,0,0,1.27,40.42,0,0,0.73,0,0
 36-46,0,0,0,0,1.63,0,0,35.95,0,2.81,1.26,10.6,0,15.45,0,29.57,0,0.65,0,0,11.59,0,0,2.44,167.92,0,0,0,0,1.57,0.65,0,0.56,0,49.61,0,0,0,0,0
 48-58,0,0,0,0,0.39,0,0,56.95,0.74,0,2.98,7.71,0,6.99,0,27.48,0,0.4,0,0.59,12.49,0,0,3.17,162.89,0.96,1.22,0,0,0.4,0,0,0,0,31.27,0,0.61,4.09,0,2.23
 60-70,0,0,0,0,0,0,0,53.55,0,0,0.83,5.3,0,0.88,0,24.13,0.58,0,0,6.77,16.99,0,0,0,112.19,0,0,1.66,0,1.95,0,0,1.06,0,22.26,0,0,3.48,0,0
 72-82,0,0,0.69,0,1.32,3.84,0,40.17,0,1.51,4,4.18,0,3.89,1.15,24.16,0,5.77,0,0.64,14.6,0,0,2.77,73.26,0,0,0,0,3.23,0,0,0,0,13.51,0,0,0.56,0.64,0
 84-94,0,0,0,0,1.73,0,0,21.91,0,0.56,2.37,2.66,0,16.78,0,59.97,0,0,0,0.58,7.27,0,1.54,2.06,35.87,0,0,5.29,0,9.13,0,0,0,0,1.85,0,0,5.65,0,1.22
 96-106,0,0,0,0,0,0,0,15.53,0,0,0,6.06,0,4.5,0,50.15,1.08,2.35,0.84,0,10.94,3.01,0.58,5.19,71.92,0.85,0,1.94,0,6.13,0,0,0,0,8.49,0.8,0,5.16,0.93,2.02
108-118,0,0,0,0,4.18,0.71,2.48,23.3,0,1.14,2.52,8.83,0.45,0,0,96.7,0,2.86,0,1.2,15.21,0,4.74,0,94.66,0,0,6.35,0,14.33,0,0,0,0,4.57,0,0.77,11.73,1.9,4.1
120,0,0,1.37,0,7.4,2.55,0,8.77,0,2.16,8.6,15.93,0,0,0,104.93,0,0,0,1.45,21.05,5.62,6.89,0,111.52,0,0,0,0,9.37,0,0,0,0,0,0,0,3.92,6.92,4.83
