stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,191.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0
  7-9,17.12,0,3.29,0,0,0,18.2,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,64.15,6.13,0,0,56.22,0,8.28,6.94,0,0,0,0,0,0,0,0
 10-12,31.65,0,9.29,0,0,0,5.91,0,0,0,0,0,13.11,0,0,0,0,0,0,0,0,0,0,0,127.9,0,0,0,27.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.35,8.26,0,5.77,0,0,0,0,0,0,0,0,0,0,0,3.37,3.43,5.85,0,0,5.26,129.24,0,1.37,2.21,1.65,0,1.99,0,1.44,8.05,12.14,40.19,0,0,1.06,0
 24-34,0,0,0,2.68,1.35,0,18.24,0,0,0.68,3.18,0,0,0,4.16,5.33,1.61,0,0,4.68,12,0,0,2.29,351.17,0,2.64,1.45,0,0,5.47,0,2.01,1.36,5.69,71.84,0,0,0.87,8.75
 36-46,0,0,0,0.61,0,0,76.76,13.94,0,0,7.49,0,0,0,1.69,1.9,0,0,0,0,10.67,0,0,5.6,951.45,0,7.83,0,0,0,7.44,0,0.7,8.2,0,141.29,0,0,0,8.74
 48-58,0,0,0,4.11,0.38,0,185.47,0,0,0,22.99,0,0,0,1.46,1.83,2.22,1.16,0,0.95,16.92,0.95,0,3.02,1099.94,0,2.72,2.08,0,0,6.57,0,0,3.96,0,138.09,0,0,5.49,6.24
 60-70,0,0,0,7.29,0,0,411.56,5.29,0,0,24.96,0,0,2.11,7.92,0.67,0.66,0,0,7.28,17.26,0,0,8.53,1624.77,0.64,3.81,0.77,0,0,0.63,0,1.25,1.01,0,120.05,0.81,0,1.04,1.98
 72-82,0,0.68,0,6.42,0.75,0,350.95,0,0,1.19,39.59,2.03,0,0.87,2.34,1.63,1.86,0.62,1.54,0,30.11,0.92,0,2.56,1540.85,0,1.47,1.97,0,0,1.78,0,0,0,0,77.01,0,2.25,6.04,0
 84-94,0,0,0,4.95,5.88,0,241.27,3.76,0,1.19,20.4,2,0,0,13.45,2.32,0.63,0.59,0,1.76,16.83,0,0,0.56,959.58,0,0.83,3.87,0,0,24.16,0,0,0.62,0,33.46,7.76,0,3.92,7.88
 96-106,0,3.13,0,8.75,8.85,0,207.93,0.62,0,0,28.09,1.96,0,0,11.1,0.56,1.9,3.73,10.33,1.66,12.33,1.56,1.02,1.44,768.07,0,6.73,2.75,0,0.97,18.86,0,0,0,0,13.19,0,0,6.1,2.61
108-118,0,0.61,0,5.28,2.59,1.2,232.8,1.84,0.62,1.58,22.46,2.54,0,0,10.9,4.28,5.83,1.44,0.56,3.07,6.53,4.79,0,1.04,1018.11,0,3.66,5.12,0,0,6.26,0,0,0.95,0,28.53,1.12,0.82,1.18,3.6
120,0,0,0,21.99,1.03,1.06,155.67,0,1.33,0,7.21,12.66,0,0,9.66,2.21,0,1.15,0,0,20.74,0,0,1.52,1233.38,0,2.97,0,0,0,7.31,0,0,0,0,11.14,0,0,5.03,0
