stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.62,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.4,0,0,0,6.95,0,0,0,0,0,15.26,0,0,0,0,0,0,0,0,0,0,0,35.76,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.38,5.84,7.03,0,0,4.17,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,2.82,1.22,3.11,0,0,0,1.12,1.46,0,0,61.75,0,0,0,0,0
 24-34,0,0,6.53,9.17,6.85,0,0,17.45,0,0.85,0,4.54,0,0,0,0,0,0,0,2.34,3.4,2.25,0,0,8.42,327.62,18.22,7.38,21.72,0,0,8.61,0,19.63,0,0.76,241.62,0,0,1.38,0,0
 36-46,0,0,0.85,0,13.66,0,0,33.11,0,0,0,17.16,0,0,0,0,0,0,0,0,9.27,13.92,0,0,0,561.72,9.98,3.31,33.94,0,0,20.35,0,17.7,0,0,293.87,0,0,6.02,0,0
 48-58,0,0,0.83,0,11.56,0,0,142.01,0,0,1.06,45.66,2.89,0,0.41,0,3.62,0.39,1.69,2.1,7.12,9.92,0,4.24,0.41,961.85,18.16,7.08,13.55,0,0,15.4,0,30.66,0,0,303.19,0,0,1.85,0,0
 60-70,0,0,0,0,7.15,0,0,727.2,0,0,1.17,112.33,4.29,0,0,2.45,0.61,1.86,1.22,4.96,2.38,20.05,0,0,0.75,1429.07,22.42,9.36,37.24,0,0.66,6.08,0,1.35,1.01,0,254.3,0,0,1.57,0,0
 72-82,0,0,0.53,0,6.63,1.87,0,1080.94,0,0.5,0,142.45,9.54,0,4.32,0,0,0,3.07,2.91,2.69,47.34,0.89,0,1.65,1709.57,2.54,19.47,38.68,0,4.21,10.71,0,1.45,0,0,216.41,9.31,1.23,0,1.24,5.35
 84-94,0.62,0,1.14,1.97,15.84,8.18,1.54,880.97,0,1.92,0,109.58,32.84,0,0,1.38,0.55,3.3,0.69,9.5,11.1,26.57,1.82,0,4.98,1197.07,14.42,23.67,59.26,0,0,7.11,0,2.5,0,0,121.43,0,0,0.64,0,0
 96-106,0,0,0,3.02,21.08,0,0,789.15,0,0,1.1,145.18,11.46,0,2.92,0,0.6,0.75,2.39,23.09,1.42,45.78,2.51,0,0.61,1217.96,4.51,35.55,52.11,0,0.81,10.67,0,0.85,0,0,130.07,0,0,4.72,2.37,8.78
108-118,0,0,3.77,2.04,19.03,13.49,24.06,667.62,0.58,1.5,1.74,193.17,6.57,0,1.56,0.96,0.42,1.44,4.65,30.04,2.2,44.8,0.87,0,0.67,1343.58,4.51,21.22,77.35,0,0,8.04,0,11,0,0,74.63,1.12,2.44,0.99,0,0
120,1.12,0,0,0,26.16,3.08,0,678.81,0,1.33,5.01,208.73,0,0,0,0,0,2.12,10.39,71.59,0,28.32,0,0,7.13,1919.19,4.62,22.04,66.26,0,3.68,20,0,3.94,0,0,96.11,0,0,13.05,0,0
