stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.96,2.16,0,0,2.1,0,0,0,0.96,0,0,0,0,0,0,1.86,0,0,0,24.97,0,0,0,0.85,0,0,1,0,5.46,9.5,0,0,0,0,0
 24-34,0,0,0,0,0,1.83,0,0,1.87,0,0,1.04,0,0,0,0,2.13,0,0,3.56,37.65,0,2.49,0,0,0,1.9,0,0,0,6.13,0,0,0,0,0
 36-46,0,0,2.86,0,0,5.71,0,0,5.31,8.68,1.26,0.84,0,0,0,0,5.52,0,0,0,67.91,0,0.66,0,0,0,0,0,0,0,11.52,0,0,0.71,0,0.67
 48-58,0,0,0.52,0,0,18.57,0,0.55,8.59,0,0,0.86,0,0,1.69,0,3.15,0,0,1.06,119.26,0,0,0,0,0,0,0,0.94,0,16.55,0,0,0,0,1.38
 60-70,0,0,2.72,0,0,66.74,0,0,5.87,0,0,4.33,0,0,0.67,0,19.04,0,0,0,170.12,0,1.73,1.26,0,2.16,0,0,0,0,8.32,0,0,4.37,0,0
 72-82,0,0,8.33,0.63,0,272.71,0,0,14.97,0,0,1.12,0,0,0,0.49,30.78,0,1.12,0,266.32,0,0,2.85,0,0,0.95,0,0,0,18.96,0,0.99,1.1,0.57,0
 84-94,0,0,0,4.99,0,118.6,0,0,12.12,2.1,0,4.98,0.56,0,0,0,8.9,0,0,6.84,175.31,0,0,0,0,13.76,0.88,0,0,0,1.77,0,0,2.24,0,0
 96-106,1.78,0,0.77,0,0,260.62,0,0,14.98,3.66,1.89,0.56,0,0,0,0,31.59,3.74,0,0,203.21,0,2.19,1.89,0,4.36,2.78,0,0,0,0,0,0,5.1,0,0
108-118,3.86,0,5.78,3.11,0.85,166.63,1.09,1.81,14.84,1.2,0,2.52,0,0,1.39,0,39.23,0,0,0.48,223.62,1.2,0,1.94,0,3.77,0,0,0,0,0,1.01,0,2.45,2.32,0.51
120,4.32,0,4.88,2.11,0,63.22,0,0,24.01,8.46,5.85,1.75,0,1.62,0,0,19.2,0,0,6.34,211.16,0,0,8.74,0,0,1.01,0,0,0,0,0,0,0,1.99,0
