stage,blastomeres,epidermis,fin_epithelia,glial,ionocyte,mesenchyme,neural,periderm
  5-6,7.07,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.31,0
 14-21,0,1.09,0,0,0.9,0,0,0
 24-34,0,1.62,0.62,0,0,0,6.95,0
 36-46,0,0,0,0,0,0,2.2,0
 48-58,0,0,0,0,0,0.37,0,0
 60-70,0,0,0,0,0,0,0,1.14
108-118,0,0,0,2,0,0,0,0
120,0,0,0,0,0,0,4.74,0
