stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,167.59,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1253.03,2.75,0,69.38,0,1.17,0,0,0,0,1.1,0,0.86,0,0,46.6,0,16.3,12.95,0,7.71,17.01,0,2.47,0,0,0,0.87,0,0.99,0,1.85,0.99,4.04,0,0,0.84,0,0
 24-34,0,1538.6,2.47,0,201.74,0,77.89,0,0,0.67,0,16.95,0,0,0,0,78.45,0,183.72,19.91,2.4,30.32,94.49,0.6,0.9,0.82,0,4.2,4.14,0,0,2.04,0.7,0.71,9.3,0,0,47.52,0,0
 36-46,0,1047.13,4.15,0,238.63,0,169.1,1.96,4.3,0,0,23.59,0,0,0,2.16,30.98,0,397.06,10.84,3.79,19.03,63.08,0,3.09,0.96,0,2.1,5.3,0,0,0.59,0,0,25.58,0,0,92.77,0,0.82
 48-58,0,1049.84,1.07,0,227.76,1.81,347.54,0.56,9.24,1.11,0,30.89,0,0,0,6.55,49.03,0,1254.15,5.16,1.37,21.75,112.61,0.42,0,0.9,0,2.47,6.08,0.56,0,0,0.8,0,24.11,0,0.91,94.57,0,2.83
 60-70,0,900.87,1.83,8.61,192.18,3.54,265.9,0,4.66,16.49,0,14.67,0,0,0,6.85,105.49,0,1843.32,16.99,8.11,26.35,134.31,0,0,0,0.81,7.04,2.98,0,0,4.78,2.14,0,42.34,0.84,0,16.78,3.17,4.34
 72-82,0,760.75,23.92,0,257.02,12.59,283.46,2.23,20.12,13.34,0,4.34,0,1,0,10.27,401.45,0,2864,11.31,11.35,74.03,188.6,1.46,6.63,0.53,0,10.9,8.8,0,0,0,3.93,0,63.23,12.96,0,20.42,0.84,7.94
 84-94,0,1809.09,12.93,0,451.3,10.07,554.1,9,21.9,30.22,0,18.66,0,0,0,13.78,1229.92,0,2847.49,27.47,16.28,60.18,187.02,0,0.71,1.68,0,13.78,20.29,4.2,0,0,1.1,0,118.51,7.45,0,12.2,6.03,11.8
 96-106,0,1722.92,21.77,1.12,527.65,29.23,526.2,3.73,55.8,51.73,0,8.73,2.15,0,0.72,19.58,2192.24,5.43,2903.58,24.21,4.43,92.44,380.73,0,10.86,3.96,1.2,5.9,38.48,0,0,4.98,3.49,0,211.2,0.58,7.22,6.25,0.61,8.72
108-118,0,1006.98,13.28,1.67,290.9,34.13,555.61,12.09,66.2,46.34,0,8.63,2.53,0,2.11,11.15,4115.11,0,2270.07,12.45,15.41,69.41,419.87,0,2.81,7.79,0,3.39,19.05,0,0,1.75,1.19,0,90.12,8.47,8.05,9.41,0.48,11.23
120,0,545.68,0,0,374.56,19.35,250,0,81.57,36.78,0,0,0,0,0,7.65,1910.34,0,2151.04,3.47,0,54.64,275.4,0,13,3.16,0,49.5,13.62,0,0,2.39,1.6,0,147.16,14.47,0,2.42,0,0
