stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,265.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.77,0,0,0,0,0,0,0,0,0,0
  5-6,21.83,286.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,36.46,0,6.96,4.4,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,155.11,4.26,0,0,16.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.58,8.6,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.3,0,0,0,37.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.36,1.23,3.42,0,50.23,0,0,0,0,0,0,0,0,9.42,0,0,0.88,538.83,0,0,4.44,0.86,0,0,0,4.89,1.47,4.57,289.41,0,0,0,0,0
 24-34,0,0,0,9.45,0,12.11,0.72,227.64,0,1.82,0.76,0,0,0,0,0.76,40.25,0,0,14.33,1790.96,0,1.3,8.89,0,2.91,2.36,0,0,0,0.65,1044.68,0,0,40.17,0,6.91
 36-46,0,0,0,2.48,0,17.77,0.6,756.51,0,0,0.63,0,0,3.72,0.56,0.83,63.69,0,0.56,20.65,1572.97,2.73,1.45,10.05,0,0,1.04,0,0,0,0,1553.45,0,0,21.26,0,0
 48-58,0.58,0,0,5.73,0,62.69,2.4,966.98,1.69,0,0,0,0,0,0,0,130.41,0,0.82,11.92,693.17,1.42,0,26.24,0,1.04,0,0,0,0,0,1410.39,0,0,11.32,0,3.29
 60-70,0,0,0,3.45,0,35.28,0,1003.14,0,0,1.47,3.15,0,0,0,0,175.31,0,1.05,9.14,205.93,1.04,0,4.88,0,0,0,0,0,0,0,516.13,0,0,3.84,0.85,0
 72-82,0,0,0,2.08,5.96,64.88,4,1443.43,0.63,0,0.6,0,0,0.93,2.17,1.65,286.18,0,4.15,15.1,176.34,0.52,0,46.65,0,0.89,2,1.65,0,0,0,136.67,0.87,4.89,9.47,0,0
 84-94,0,0,0,8.08,0,51.5,0,924.2,0,0,0,0,0.69,0,0,0,234.67,0,9.75,4.36,171.92,0,0,22.99,0,0,0,0,0,0,0,132.72,0,1.75,8.94,2.23,8
 96-106,0,0,0,5.76,4.04,36.79,6.3,900.08,0,0,0.87,1.68,0.91,0,0,1.54,223.29,2.69,1.76,13.57,169.82,0,0,28.71,0,0,0,0,0,0,0,35.77,0,1.22,11.69,5.75,0
108-118,0,0,0,1.61,2.4,22.3,4.7,803.52,0,0,0,0.42,0,0,0.56,0,241.3,0,0,10.59,160.19,0.5,0.68,26.47,0,2.05,1.46,0,0,0,0,37.86,0,0.6,6.55,0,0
120,0,0,0,16.35,0,40.82,0,921.31,1.55,0,2.18,2.19,0,1.11,0,0,148.45,0,0,9.36,116.75,0,0,20.19,0,0,0,0,0,0,0,4.95,0,3.84,38.91,2.01,0
