stage,epidermis,eye,fast.muscle,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,visceral.smooth.muscle
 36-46,0,0,1.18,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0
 48-58,0,0,0.38,1.89,0,0,0,0,0,0.4,1.86,0,0,2.26,2.44,0,0
 60-70,0,0,0,0,0,0,2.04,0,0,2.76,0,0.81,0,0,0,0,0
 72-82,1.48,0,2.65,0,0,0,0,1.01,0.54,0,0,0,0,0,0,0.5,0
 84-94,0,0,0,0,0.65,0,0,0,0,0,0,0,0.85,9.21,0,0,0.68
 96-106,0,1.44,1.87,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0
108-118,0,5.63,2.02,0,0,3.05,0,1,0,0,0,0,0,0.68,0,0,0
120,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
