stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1328.72,37078.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242.4,0,0,0,0,0,0,0,0,0
  5-6,1503.42,10408.07,0,12.33,0,0,0,0,0,0,0,0,132.02,0,0,0,0,0,0,0,0,0,1606.57,0,0,0,370.05,197.02,0,0,0,0,0,0,0,0,0
  7-9,82.5,168.36,0,113.99,0,0,12.92,0,0,0,0,0,85.66,0,0,0,0,0,0,0,0,0,577.7,75.92,0,0,2844.12,0,13.09,0,0,0,0,0,0,0,0
 10-12,0,45.15,0,121.42,0,52.67,8.66,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,277.13,5.55,0,0,150.19,0,0,0,1131.88,0,0,0,0,0,0
 14-21,0,0,1.32,0.89,1.87,1661.68,2,0,0,0,0,0,0,2.73,5.11,0,0,0,0,5.71,0,0.95,38.04,9.18,1.07,0.8,0.99,1.15,0,10.6,0,3.44,21.4,0,5.12,0,0
 24-34,0,0,0,0.6,2.74,228.8,7.68,0,1.42,0,1.47,0,0,0,0.76,1.72,0,0,0,11.67,0,3.25,139.09,2.26,1.61,3.61,0,2.93,0,0,0,2.78,45.41,0,16.58,0,0
 36-46,0,0,0,0,1.56,16.09,19.66,0,6.72,0.78,7.34,0,0,0,0,0,0.74,0,10.06,17.12,0,3.26,140.69,0,1.78,0.61,0,0,0,0,0,0.6,37.86,0,2.51,0,0.98
 48-58,0,0,0,0,0,14.06,56.64,0,0,0.42,24.56,0,0,0,0,0,0,0,0,9.47,0.53,0.39,95.09,0,2.45,0,0,0,0,0,0,0,30.94,0,2.36,0.9,0
 60-70,0,0,0.7,0,0,17.46,88.5,0,0,0,27.93,0,0,5.06,0,0,0.61,0.73,0,18.41,0,0.77,75.5,0,0.73,0,0,3.39,0,0,0,0,12.05,0,3.93,0,0
 72-82,0,0,0.56,0,1.2,83.22,51.62,0.82,0,2.49,14.16,1.57,0,0,0,0,0,1.3,0,5.91,0,0.59,40.41,0,0.53,0.79,0,0,0,0,0,0,11.97,0,4.42,0,0
 84-94,0,0,0.74,0,1.44,66.48,42.89,0,0,0,4.51,0,0,4.81,0,0,0,0,0,16.59,1.19,1.83,30.37,4.96,0,0,0,0,0,0,0,0,0,0,4.19,0,1.33
 96-106,0,0,1.38,0,0,166.91,34.68,0,0,1.02,11.55,1.6,0,0,1.65,0,0,0,1.85,10.35,0,0.89,28.78,0,0,0,0,0.92,0,0,0,0,3.68,3.26,3.25,0,0
108-118,0,0,0.91,0,2.79,140.98,13.7,0,0,0,12.16,1.01,0,0.69,0,0,0,0,0,3.08,0,0,43.51,0,0,0,0,0,0,0,0,0,4.13,0,0.49,0,0
120,0,0,11.35,0,0,220.55,8.3,0,0,0,1.7,1.34,0,0,2.88,0,0,0,0,15.18,0,0,38.49,2.06,0,0,0,0,0,0,0,0,0,0,2.12,1.05,0
