stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.43,0,6.65,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.39,0,0,0,18.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.14,95.26,0,0,5.52,0,0,0,2.34,0.85,0,0,3.96,0,0,0,0,3.84,0,0,1.26,181.26,2,2.31,3.88,2.56,0,0,3.21,0,0,1.78,40.75,0,0,0,0,0
 24-34,0,0.62,5.81,75.49,0.76,0,12.75,0,30.12,0,10.3,2.67,0,0,2.38,0,4.49,4.26,0,16.78,1.48,0,4.57,823.2,22.48,6.86,17.83,0,0.61,0.98,0,2.87,0,0.63,167.66,0,0,0,0,0
 36-46,0,4.62,0.87,58.39,0,0,16.86,0,45.38,0,32.17,1.58,0,0,0,0,9.18,0,0,18.76,0,0,5.23,732.76,13.19,7.85,11.86,0,1.24,0,0,0,0,0,194.43,0,0,3.2,0,0
 48-58,0,1.97,0,89.94,0,0,54.98,0,18.96,2.41,60.01,0,0.48,0,0,0,5.12,4.81,0.74,69.31,2.38,0.56,8.17,683.08,51.67,1.87,22.61,0,1.92,0,0,1,0.41,0,175.72,0,0,0,0,0
 60-70,0,0,0,92.46,0,0,47.33,0,38.85,1.96,53.99,0,0,0,1.31,0,3.9,0.68,0,110.99,0,0,12.5,528.14,31.79,0,9.92,0,0.59,0,0,1.37,0,0,109.17,2.18,0,0.67,0,0
 72-82,0,5.47,0,62.59,5.1,0,30.93,0,25.2,3.76,74.2,0.77,0,3.79,0.84,0,2.69,6.45,0,179.59,0,1.14,9.88,375.97,6.34,1.27,12,0,1.95,0,0,4.56,0,0,60.47,0.5,0,2.76,0,3.38
 84-94,0,5.7,0,102.12,0,0,31.22,0,22.22,1.36,48.71,0.6,0.76,0,1.74,0,1.65,46.61,0,173.09,0.85,0,4.23,264.58,33.35,2.55,22.44,0,3.56,0,0,3.22,0,0,68.73,2.55,0,10.43,0,0
 96-106,0,8.91,0,86.79,0,0,34.86,1.45,15.93,2.21,53.24,4.69,0,0,0.56,1.36,0,32.21,0,197.46,0,2.92,16.76,244.61,3.24,0.73,11.45,0,7.56,0,0,0,0,0,26.48,3.21,0,4.3,0,0
108-118,0,3.53,1.19,90.8,0,2.7,40.93,4.69,20.47,2.38,34.24,4.87,0,1.16,2.64,0,0.52,111.63,0,248.63,0.47,2.25,4.12,198.37,9.39,2.62,16.6,0,1.39,0,0,3.45,0,0,34.11,0.68,0,0,0,0
120,0,7.99,0,131.12,4.51,0,34.52,0,33.63,7.77,37.52,0,0,4.22,1.4,0,0,99.36,0,410.28,0,10.33,33.84,254.8,5.1,8.07,15.52,0,0,0,0,0,0,0,45.42,3.12,22.14,26.68,10.35,0
