stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.01,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,128.91,15.07,0,0,10.93,0,0,0,0,0,0,0,0,0,0
 10-12,5.06,0,0,0,0,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.15,3.36,0,0,63.72,0,0,5.98,0,0,0,0,0,0,0
 14-21,0,0,0.95,27.47,0,11.69,0,0,0,6.78,0,0,0,0,0,0,0,0,0,10.32,0,0,17.45,145.91,1.86,2.46,0,3.49,1.89,10.63,2.44,1.61,9.12,40.91,0,2.3,0,0
 24-34,0,0,0,6.04,0,8.25,0,0,0,1.78,0,0,0,0,0.78,0,0.68,0,0,7.24,0,0,4.27,115.58,0.87,3.25,1.85,0,5.48,0,0,0,0.6,40.84,0,0,0,0
 36-46,0,1.8,0,3.32,0,6.54,0,0,0,17.54,0,0,0.63,0.89,0.78,0,0,1.07,0,12.75,0,0.57,4.05,143.87,0,15.87,6.67,0,2.3,0,4.46,0,0,47.38,0,0,0,0
 48-58,0,0,0,0.64,0,11.64,0,5.26,0,34.93,0,0,0,0,0,0.56,0.77,0,0.41,6.88,0,0.51,1.13,75.11,0,3.44,0.91,0,1.02,0,0.47,0,0,19.78,0,0,0,0
 60-70,0,0,0,1.66,0,60.72,0,0,0.64,19.7,0,0,0,0,2.41,0,1.22,0,0,20.13,0.65,4.4,0.82,110.83,0,7.21,0,0,3.35,0,0.6,0,0,6.16,0.77,0,0,2.96
 72-82,0,0,0,1.29,1.87,78.39,0,2.15,0,10.99,0,0,0,0.53,1.76,0,2.59,0,0,32.16,0,0,0,95.53,0,13.92,0.61,0,3.7,0,0,0,0,10.02,0,7.45,0,0
 84-94,0,0,0,3.57,4.24,65.71,0,0,5.25,66.23,3.16,2.66,1.01,0,3.27,0,0,0,1.13,30.78,1.55,1.31,0,80.29,0,17.53,1.04,0,15.6,0,0,0,0,13.84,1.21,6.54,0.77,0
 96-106,0,1.38,0,2.82,14.71,91.08,0.93,1.96,0,17.85,0,0,0,0,4.44,0,3.08,0,0,18.97,0,2.56,1.82,85.02,0,12.99,4.93,0,7.27,0,0.69,0,0,0,0,5.67,2.15,0
108-118,0,1.21,0,10.28,7.2,61.44,0,2.31,1.57,36.67,1.62,0,1.35,1.58,4.53,0.74,0.69,0.51,0.74,38.62,0,0,0.91,109.68,0.47,15.54,15.9,0,13.97,0,0,0,0,14.23,0.43,4.97,0,0
120,0,0,0,3.37,0,75.96,0,3.34,0,61.45,17.94,0,0,13.26,7.08,0,0,6.71,0,43.59,1.72,0,3.63,212.26,0,1.61,1.34,0,19.28,0,0,0,0,1.98,1.37,16.33,0,0
