stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,41.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.07,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,22.79,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.74,16.95,0,1.88,0,0,0,1.88,0,0,0,0,0,0,0,0,124.29,0,98.66,250.54,0,0,0,0,0,0,0,1.03,0,0,120.95,0,0,0,0,0
 24-34,0,0,0,0,0,1.31,0,5.31,0,0.8,0,3.35,0,5.07,0,0,0,0.71,0,0,433.59,0,62.25,1073.1,0,3.56,0.69,0,0,0.76,0,0,0,0.97,207.99,0,0,1.85,0,0
 36-46,0,0,0,0,0,0,0,9.19,0,1.15,0,2.93,0,5.66,0,0,0,2.28,0,3.17,832.34,0,17.14,1267.72,0,3.17,17.84,0,0,0,0.81,0,0,0,128.28,0,0,0,0,28.74
 48-58,0.39,0,0,0,0.78,0,0,52.55,0,0,0,10.66,0,0.59,0,0,1.04,12.29,1.02,0,683.86,0,10.87,1176.27,0,0,8.28,0,0,0.66,0,0,0,0,157.25,0,0,0.63,0,21.21
 60-70,0,0,0,0,8.17,0,0,158.71,0,0,0,3.98,0,0.77,0,0,0.69,56.64,0,0,559.24,0,31.8,1273.41,0,0,22.86,0,0,0,0,0,0.93,0,345.28,0,0,5.47,0,10.48
 72-82,0,0,0.54,0,2,6.3,0,206.24,0,0,0,28.53,0,0,0,0,3.56,80.51,1.36,0,603.67,3.63,18.21,1511.26,0,0,24.39,0,0.71,2.6,0,0,0,0,239.92,3.92,2.79,3.84,0,7.63
 84-94,0,0,0,0,13.8,1.03,0,170.57,0.87,1.88,4.84,19.65,0,0,1.91,0.6,10.41,97.39,0,0.83,447.98,0,19.47,949.77,0,0,42.91,0,1.66,22.82,0,0,0,0,150.28,0,1.67,2.94,2.23,2.99
 96-106,0,0,0.63,0,15.59,0,0,99.09,0,1.56,0,49.64,2.19,0,1.72,0.64,0.76,176.29,0,0,640.98,0,11.33,944.91,2.58,2.04,82.71,0,8.06,10.07,0,0,0.71,0,54.41,0,0,20.88,0,23.26
108-118,0,0,4.9,0,11.09,0,0,179.45,0,0,0,39.75,2.23,0,1.77,0.68,1.83,128.45,0,0,596.04,0,9.32,923.07,0.51,3.2,68.02,0,0,10.18,0,0,0,0,47.14,0.89,0.72,8.42,0,6.56
120,0,0,0,0,24.95,0,4.06,285.9,0,0,0,55.65,13.07,2.11,0,0,3.91,65.37,3.5,0,400.72,2.08,0,1420.72,0,0,78.07,0,0,7.79,0,0,0,0,65.68,3.15,0,4.18,9.46,10.22
