stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,28.83,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.46,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,2.34,42.85,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0.69,0,1.45,5.99,4.41,1.29,0,0,0,0,2.08,8.9,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,52.16,1.63,0,0,0,0,0,0,11.89,0,43.84,7.47,1.47,0,0,0,0,0.71,0,2.15,0,0,0,0,0
 48-58,0,0,0,0,2.73,1.01,11.51,271.39,0.71,0,0.49,0,0,0,0,51.14,0,44.41,10.27,0,0.42,0,0,0,3.03,0,2.13,0,0,0,0,0
 60-70,0,0,0,0,17.05,2.25,22.72,410.94,1.57,0,0,0,0,0,0,89.22,1.14,68.14,42.73,0,0.7,0,0,0,0.73,0,0,0,0,0,0,3.42
 72-82,0,0,0,0,49.44,1.92,0,863.66,7.14,0,0,0,0,2.56,0,158.07,0,113.01,46.57,0,0,0,2.51,0,3.58,0,1.58,0,0.97,0,0,0
 84-94,0,4.01,0,0,62.89,2.92,5.22,867.19,1.34,0,0,2.59,1.08,0,0,154.99,0,62.74,39.07,0,0,0,0,0.84,2.78,0,0,1.01,0,0,1.2,0
 96-106,8.06,6.14,9.53,0,64.91,0.72,31.71,1022.37,4.18,0.89,0,0,4.05,1.06,0.84,303.7,5.04,42.56,47.53,0,2.91,4.62,0,0,8.63,0,0,0,1.4,0,0.81,0
108-118,0,6.28,5.82,3.05,24.86,2.8,4.13,989.17,1.87,1.36,0,2.43,0,0,0,281.69,0,46.53,66.23,0,0.76,1.05,1.74,0,0.68,0,0,0,0,3.06,0,0
120,0,0,0,0,24.01,1.26,0,779.27,11.89,0,0,0,0,0,0,295.95,0,29.05,39.36,0,0,0,2.15,0,0,0,0,0,0,0,9.08,0
