stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,27.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,18.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,0,7.13,2.68,0,5.16,0,0,0.95,0,0.98,0,3.82,0,0,4.26,25.56,0,0,0.95,0,7.07,7.92,7.67,0
 24-34,0,0,0,0,0.6,0,0,4.7,0,0,2.47,0.74,0,0,3.93,0,0,0.78,49.93,0,1.58,0,0,0,1.45,8.14,0
 36-46,0,0,0,0,5.04,0,0,17.37,0,0,0,0,0,0,2.5,0,0,2.67,51.6,0,1.48,0,0,0,0,3.67,0
 48-58,0,0,0,1.75,0,0,0,18.88,0,0.47,0.78,0,0,2.67,3.82,0.49,0,10.14,35.17,0,1.08,0,1.3,0,0,5.18,0.58
 60-70,0,0,0,0,2.99,0,0,31.75,0,0,0.98,0.96,0,0,2.45,0,0,0,23.81,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.51,0,0,9.14,0,0,1.04,0,0,0,3.94,0.92,0,3.04,39.95,0,0,0,0,0,0,13.97,0
 84-94,0,0,1.48,0,0,0,0,1.8,0.62,0,4.14,0,0,0,3.31,0,0,2.13,32,0,1.78,0,0,0,0,8.81,0
 96-106,0,0,0,0,0,0.8,0,10.56,0,0,0,0.56,0,0,1.02,0,2.29,0,33.98,0,6.23,0,0,0,0,0,1.82
108-118,0,0,0,0,0,0,0.62,1.25,0,0,3.36,0,0,0.44,4.04,0,0,6,27.46,0,3.65,0,1.92,0,0,8.53,0
120,0,0,0,0,0,2.1,1.6,14.59,0,0,3.44,0,0,0,2.54,0,0,1.67,14.17,0,0,0,0,0,0,0,0
