stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,121.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,94.65,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.45,9.66,0,59.6,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.23,13.15,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,46.69,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,0.9,5.45,0,0,0.85,0,0,1.51,0,0,1.1,0,0,0,0,0,0,1.43,0,0,0.98,12.36,0,0,0,0,0,3.25,0.9,0,0,2.34,0,0,1.05,0,0
 24-34,0,0,0.9,0,8.52,0,0,0,0.62,0,0,0,0,9.6,0,1.73,0,3.11,0,1.23,0.68,0,0,1.31,97.46,0,19.72,5.35,0,2.91,29.85,0,0.91,0,29.01,0,0,0.81,0,2.31
 36-46,0,0,0,0,1.83,0,0,7.85,0,0,3.77,0,0,4.07,0,0,0,5.04,0,1.47,5.99,0,0,0.61,154.45,0,25.24,10.76,0,0,68.14,0,0,0,28.49,0,0,0,0,0
 48-58,0,0,0,0,19.36,1.76,0,20.68,0,0.43,18.53,0,0,0.63,3.44,1.27,0,6.27,0,2.93,10.76,3.08,0,1.14,224.6,1.36,18.16,2.75,0,0.61,51.95,0,0,0,40.98,0,0,0,0,3.19
 60-70,0,0,0,0,2.53,1.04,0,192.5,0,2.54,42.86,0,0,0.65,2.51,2.31,0,9.31,0,2.19,13.35,2.44,1.7,2.72,223.17,0,23.8,11.77,0,0.71,73.08,0,0,0,21.41,0.81,2.81,0,0,0
 72-82,0,0,0,0,7.22,5.1,0,360.52,0,0,73.23,0.64,0,0,6.27,0.83,1.71,8.68,0,4.89,26.26,0.95,2.71,0.54,233.56,0.51,34.14,24.32,0,3.09,36.21,0,0,0,10.23,1.06,8.97,0,2.52,0
 84-94,0,0,0,0,15.51,7.51,0,390.01,3.54,0,83.92,1.86,0,0.8,2.85,2.98,0.64,6.6,2.53,7.29,20.67,1.48,0.8,2.18,246.18,0,48.45,35.39,0,0,195.37,0,0,0,15.72,8.39,5.62,1.42,4.92,0
 96-106,0,0,0.91,0,3.18,7.53,0,492.89,7.45,6.51,102.03,6.39,0,3.43,3.65,4.9,0,31.94,3.93,0,47.19,0,2.84,0,160.76,0,90.99,29.44,0,5.67,151.81,0,0,0.68,8.63,8.34,5.9,0,9.08,0.8
108-118,0,0,1.9,0,21.94,11.01,3.2,481.12,0,0.48,115.98,0.86,0,4.38,1.79,5.23,2.39,11.14,0.59,0,20.37,0.48,0.93,0.93,172.21,0,43.77,19.54,0,0,112.44,0,0,0,7.81,7.49,9.63,1.17,4.59,0
120,0,0,0,0,22.16,0,0,706.53,13.06,0,241.77,12.69,0,0,3.13,11.82,0,25.29,0,0,12.43,3.94,0,0,315.59,0,68.23,31.07,0,32.71,118.95,0,2.39,0,12.12,4.78,1.54,6.85,25.26,0
