stage,axial,blastomeres,endocrine_pancreas,endoderm,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,42.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0
  7-9,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.89,0,3.98,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,0,12.35,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,8.02,0,0,2.49,1.23,3.45,4.22,0,0,0
 24-34,0,0,0.96,0,0,2.9,0,0,0,0,0,0,0.9,0,0,0,1.72,0.76,0,0,0,0,3.66,0,0,0
 36-46,0,0,0,0,0,3.02,0,0,0,0,0,0.61,3.06,0,0,0.6,6.53,0,0,0,0,0,1.68,0,0.96,0
 48-58,0,0,0,0.43,0,1.01,0,0,0,0,0,0,7.42,0,0,0.42,0.62,0.59,0,0,0,0,5.57,0,0,0
 60-70,0,0,0,0,0,7.15,0,3.23,0,0,0,0,23.43,0.63,0,0.93,7.55,0,0,0,0,0,6.3,0,0,0
 72-82,0,0,0.86,0,0,2.3,0,2.1,0,0,0,0,42.44,0,1.23,1.85,4.08,0,0,0,0,0,0,1.89,0,0
 84-94,0,0,0,0,0,1.76,0,0,0,0,0,0,26.86,0,2.51,0,2.51,0,0,0,0,0,1.33,0,0,0
 96-106,0,0,0,0,0.84,6.38,0,2.8,1.52,0,0,0,36.55,0,1.72,1.54,6.06,1.28,0,0,0,0,0,0,0,3.01
108-118,0,0,0,0,0,1.84,0.62,14.39,0,1.55,2.23,0,55.99,0,0,1.43,1.13,0,0,0,0,0,0,2.71,0,0
120,0,0,0,0,0,1.01,0,5.36,1.17,0,0,0,67.27,0,0,0,2.96,0,0,0,0,0,0,8.91,0,0
