stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,13.93,177.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,13.27,0,0,0,0,0,0,0
  7-9,0,107.46,11.34,0,0,3.73,0,0,0,0,4.94,0,0,0,0,0,0,0,172.12,5.77,0,2206.89,0,0,0,0,0,0,0
 10-12,0,85.05,128.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.1,33.22,0,5217.81,7.35,10.74,147.91,0,34.53,0,0
 14-21,0,1.92,0,9.83,3,0,0,0,0,1.23,0,0,2,0,0,0,1.1,150.82,47.71,0,0,7.32,3.81,1348.69,0.97,746.61,5516.25,16.27,0
 24-34,0,0,0,3.53,0,5.98,37.86,0,0,4.91,0,0,0,0.75,0,0,13.27,107.19,90.93,0.87,1.06,0,3.86,4.66,0,171.98,692.71,10.64,2.14
 36-46,0,0,0,0,0,3,69.01,0,0,0,0,0,0,0,0,0,1.51,42.82,23.62,3.24,0,7.09,9.09,0,0,75.59,33.81,16.44,1.8
 48-58,0,0,0,4.34,0,7.11,43.63,2.25,0.39,0.7,0,0,0,0,0,0.74,1.51,47.99,22.95,0,0,0,0.39,0,0,9.46,1.66,2.83,0
 60-70,0,0,0,0,0,7.74,33.27,0,0,0,0,2.38,0,0,0,0,0.69,34.79,8.3,0,0,0,0.57,1.38,0,7.69,0,0,0
 72-82,0,0,0,0,1.53,3.34,37.74,0,0,1.28,0,0,0,0,0,0,1.48,34.36,8.76,0,0,2.25,0,0,0,11.17,0,0,0
 84-94,0,0,0,0,0,10.54,61.01,0,0,4.2,0,1.16,0,0,0,0,2.59,20.12,18.47,0,0,0,0.97,0,0,14.41,0,0,0
 96-106,0,0,0,0,0,6.77,15.19,0,0,0,0,0,0,0,0,0,3,9.65,9.43,0,0,1.2,4.49,0,0,2.66,0,0,0
108-118,0,0,0,0,0,6.64,36.09,0,0,0,0,0,0,0,1.84,0,2.36,37.94,6.17,0,0,0,0,0,0,3.38,0,0,0
120,0,0,0,0,0,0,84.05,0,0,1.18,0,0,0,0,0,0,0,90.15,5.95,0,0,0,0,0,0,1.32,0,0,0
