stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.54,1154.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2,0,0,0,0,0,0,0,0
  5-6,50.3,1492.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.64,0,0,0,0,15.95,0,0,0,0,0,0,0,0
  7-9,5.75,19.15,34.52,0,0,43.6,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,476.05,32.37,0,0,178.39,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,21.44,0,0,43.46,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,265.15,0,0,0,79.67,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,3.83,5.21,3.08,0,0,6.67,0,0,0,0,0,0,0,2.87,0,0,1,85.03,0,0,0,0,2.05,5.11,0,4.01,18.19,0,0,0,0.85
 24-34,0,0,0,3.87,0,14.77,0,0.9,2.38,0,0,0,0,0,0,0.63,8.27,0,0,1.17,135.68,0,0,0,0,3.69,0,0,2.46,22.29,0,12.16,0,0
 36-46,0,0,0,0.63,0,17.08,0,0,1.03,0,0,0.87,0,0,15.07,0,9.82,0,0,1.5,94.93,0,0,1.05,0,0,0,0,0,12.43,0,4.07,0,0
 48-58,0,0,1.75,0,0,27.75,3.16,0.55,5.34,0,0,0.44,0,0,0,1.05,5.84,0,0,1.04,37.73,0,0,0,0,0,0,0,0,7.36,0,0.44,0,2.66
 60-70,0,0,0,0,0,10.94,0,0,3.15,0,0,0,0,0,0,0,14.52,0,0,4.11,22.28,0,0,0,0,10.72,0,0,0,5.48,0,0,0,0
 72-82,0,0,0,0,0,13.57,0,1.51,4.27,0,0,0,0.69,0,0,1.04,12.68,0,0,3.46,29.39,0,0,2.67,0,0,0,0,0,3.97,0.57,0,0,6.53
 84-94,0,0,0,0,0,3.44,0,0,7.24,0,0,0,1.09,0,0.58,0.78,8.9,0,0,2.36,15.84,0,1.11,0.6,0,1.93,0,0.55,0,0.95,0,1.18,0,0
 96-106,0,0,0,0.6,0,3.03,0,0,0.9,0,0,0,0,0,0,0,6.13,0,1.42,1.7,13.44,0,0,0,0,0.64,0,0,0,0,4.14,0,0.88,0
108-118,0,0,0,3.63,0,0,0,0.64,1.06,0.46,0,0,0,0,0,0,6.63,2.49,0,1.54,12.05,0,0,0,0,0.7,0,0,0,1.94,0,1.47,0,0
120,0,0,0,0,0,2.86,0,0,0,2.42,0,0,0,1.05,0,0,0,0,0,0,33.01,0,0,0,0,0,0,0,0,0,0,0,0,0
