stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,neural,notochord,otic,periderm,spinal_cord,vasculature
  3-4,0,89.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,35.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,0,0
 14-21,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0
 24-34,0,0,0,30.48,0,0,0,0,0,0,0,0,0,0,0.6,0,0,7.04,0,0,0,0,0
 36-46,0,0,0,39.51,0,0.98,0.79,0,0,0,0,0,0,0,5.67,0,0.6,2.84,0,0,3.67,1.61,0
 48-58,0,0,0,29.27,0,11.21,0,0.75,3.36,0,0,0,0,0.97,1.53,0.52,0,12.26,0,0,0.56,4.12,0
 60-70,0,0,0,65.9,0,14.68,1.64,0,0.6,0,0,0,0,0,3.26,0,0,1.85,0,0,0,2.14,0
 72-82,0,0,0,24.08,0,23.82,3.25,0,0,0,0,0,0,0,12.97,0,0,16.13,0,1.39,0,0,1.53
 84-94,0,0,0,68.89,1.52,33.18,4.16,0,0,0,1.1,0,0.68,1.71,21.15,0,0,0.77,0,0,0,0,0
 96-106,0,0,0,27.55,9.89,63.01,6.8,0,4.43,0,0.78,0,0,0,14.38,1.89,0,9.89,0,0,0,0,0
108-118,0,0,1.18,65.38,0,64.83,3.65,0,0.92,0,0,1.42,0.44,1.03,13.28,0,0,11.25,0.67,0.49,1.42,0,0
120,0,0,0,92.43,0,137.32,1.05,0,17.51,1.38,0,0,0,0,2.56,0,0,4.65,0,0,0,0,0
