stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
  5-6,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0,0,0,0,0,0,0,0
 14-21,0,2.71,1.19,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,1.65,0.89,1.13,4.11,0,0
 24-34,0,0,0,0,4.22,0,0,0,0,1.01,1.37,0,0,0,0,0,2.8,0,0,1.91,47.32,0,0,1.21,5.76,0.61,13.79,1.11,0
 36-46,0,1.93,0,0,15.02,1.23,0,0.58,0.99,0,0,0,0,0.61,0,0,10.21,0,0,0,49.22,0,0,0,1.34,0,11.35,1.7,0
 48-58,0,1.04,0,0,18.3,0.57,3.49,0,4.3,0,0,0,0,0,0,0,9.22,0,4.8,0,62.02,0.49,1.27,2.73,4.75,0,12.78,0,0
 60-70,0,0.67,0,0,20.63,0,0,0,7.7,0,0,0,0,0,0,0,12.5,0,0,4.38,42.65,0,0,0.58,3.93,0,3.16,0,0
 72-82,0,0.57,0,0,25.93,0,0.5,1.05,2.26,0,0,0,0,0,0.71,0,10.28,0,1.76,0,47.18,0,0,0,0,0,3.2,3.22,0
 84-94,0,5.19,0,0,36.53,0,0,0.91,2.06,0.63,0,0,0,0,0,0,7.49,0,0,0,19.19,0,0,1.9,1.9,0,7.57,0,0
 96-106,0,1.62,0,0,14.31,0,0,0,3.17,0,0,0,0,0,0,9.55,0.61,0,0,0,26.69,0,0,11.02,4.33,0,0,0,0
108-118,0,1.14,0,4.31,6.4,0,0.52,0,1.23,1.32,0,1.22,0,0,0,0,7.23,0,0,0.45,24.72,0,0,0,5.14,0,0,0.57,2.33
120,0,0,0,0,15.56,0,0,0,11.11,0,0,0,1.05,0,0,0,0,1.31,0,1.12,25.63,5.73,0,0,2.73,0,8.17,0,0
