stage,epidermis,erythrocytes,hatching_gland,immune,ionocyte,mesenchyme,neural,vasculature
 10-12,0,0,3.86,0,0,0,0,0
 14-21,0,0,0,1.69,0,0,0,0
 24-34,0,0,0,4.74,0,0,0,0
 72-82,0,0,0,0,0,1.34,0,2.2
 84-94,0,2.12,0,0,0.72,0,0,0
 96-106,0,0,0,1.72,0,0,0,72.97
108-118,0.43,0,0,0,0,2.56,4.83,58.14
120,0,0,0,0,0,0,0,117.2
