stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,118.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.82,0,0,0,0,0,0,0,0,0,0
  5-6,17.89,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,56.37,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.29,0,0,0,25.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.81,14.75,0,0,59.14,0,8.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.87,0,0,0,65.81,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,283.86,29.87,0,0,244.67,0,5.41,0,4.56,11.74,0,0,0,0,0,0,0
 14-21,0,0,2.11,1.76,73.84,14.89,0,8.92,0,0,0,2.81,0,0,0,0,3.5,0,0,0,33.26,0,0,15.29,264.68,32.13,1.88,134.72,19.55,0,18.37,0.91,175.05,0.81,2.41,92.48,52.95,0,0,1.97,0
 24-34,0,0,0.61,0,10.33,0,0,9.97,0,0,0,1.05,0,0,0,7.67,0,0,0,0,36.14,0,0,11.94,204.41,0,3.24,9.81,0,0,15.07,0,2.17,0,0,19.36,72.8,0,0,18.25,0
 36-46,0,0,0,0,4.34,0,0,12.78,1.17,7.44,0,7.81,1.39,0,1.13,7.99,0,3.72,0.74,0.66,47,0,0,11.83,173.43,0.55,6.4,0.69,0,0,13.63,0.68,0,0.74,0,0,63.87,0,0,0.85,0
 48-58,0,0,0.54,0,4.08,0,0,45.1,0,1.16,0.8,10.32,0,0,2.84,12.8,0,0.85,0.51,0,53.2,1.51,0.9,2.89,98.37,0,3.9,0.84,0,0,16.8,0,0,0,0,0,38.32,0,0,0.52,0
 60-70,0,0,0,0,1.69,0,0,42.49,0,0,2.91,7.77,0,0,1.85,13.32,0,0,0,0,32.17,0,0,1.93,93.79,0,3.13,0.62,0,0,9.37,0,0,0,0,0,11.15,0,0,3.24,0
 72-82,0,0,0.68,0,3.34,6.9,1.16,58.9,0.72,0,0,16.08,0.86,0,0,9.33,0,0,2.07,4.65,25.23,0,0.81,2.51,66.77,0,3.54,3.17,0,0,6.69,0,0,0,0,0,17.13,0,1.71,6.64,0
 84-94,0,0,1.05,0,6.18,2.58,0,28.24,0,1.57,0.65,3.3,4.55,0,1.18,8.76,0.8,0,0.65,1.55,42.09,0,1.44,1.22,51.04,0,1.84,9.48,0,0,9.77,0,0,0,0,0,0,0,6.55,9.4,1.66
 96-106,0,0,1.19,0,5.15,2.27,0.59,38.76,0.58,1.59,0.76,18.53,2.53,0,0,20.72,0,0.95,1.15,2.13,18.53,0,1.63,0.93,43.75,0,3.58,0.64,0,1.28,5.96,0,0,0.73,0,0,6.04,0,1.2,7.74,0.64
108-118,0,0,0.89,0,12.94,1.96,0.59,19.53,0,0.97,0,1.82,2.67,0,0,27.06,0,0.53,0.6,4.06,23.28,3,1.04,4.73,35.46,0,0.5,2.38,0,0,5.86,0,0,0.84,0.56,0,4.76,2.21,0,4.75,0
120,0,0,0,0,8.15,4.09,0,17.66,0,1.09,6.89,18.33,2.7,0,2.95,20.03,2.67,0,2.12,0,31.57,1.47,3.46,0,82.98,0,0,13.3,0,0,17.99,0,0,0,0,0,0,0,0,14.06,0
