stage,endocrine_pancreas,epidermis,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,spinal_cord
 14-21,0,0.94,0,0,0,0,0,0,2.68,0,0,5.15
 24-34,0,0,1.15,0,0,0,0,0,127.06,3.87,0.72,23.94
 36-46,0,0,15.69,0,0,0,0,0,458.32,6.33,0,59.03
 48-58,0,1.87,78.17,1.65,0,2.38,0,1.62,630.75,2.24,6.61,65.13
 60-70,0,0,144.17,0,0,4.22,0,0.77,689.77,13.06,0,57.21
 72-82,0.5,0,113.45,2.78,0,3.58,4.81,0,571.75,2.86,0,39
 84-94,0,1.25,116.7,0.56,1.94,4.28,0,0,305.34,0,0,21.66
 96-106,0,0,39.82,2.78,0,3.8,0.59,0,309.19,0,0,4.91
108-118,0,2.55,76.11,5.44,0,2.32,0,0,392.73,3.07,0,3.01
120,0,0,65.62,17.67,0,5.51,0,0,565.87,1.11,1.11,8.31
