stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.38,1.06,0,0,0,0,0,0,0,0,0,0,1.7,7.53,0,0,0,0.97,0.82,0.81,9.81,0,0,0,0
 24-34,1.05,0.77,0,2.21,0,0,1.43,0,0,0.78,2.36,0,0,110.08,0,0,0,0,0,0.77,40.58,0,0,1.3,0
 36-46,0,0,0,5.49,0,0,0.92,0,0,0,1.51,0,1.52,186.63,0,0.75,0,0,0,0,50.15,0,0,0,1.19
 48-58,0,0,1.7,70.57,0,0,15.62,0,0,0,7.09,0,0,226.29,0.41,0,0,0,0,0,33.07,0,0,0,0
 60-70,0.86,2.53,0,133.62,2.64,0,5.44,0,0,0,8,0,0,263.51,1.02,0,0,0,0,0,46.88,0,0,0,0.79
 72-82,0,0.65,0,113.59,0,0,2.81,0,0.64,0,11.02,6.59,0.66,155.05,0,0,0,0,0,0,15.2,0,0,0.85,0
 84-94,0,0,0,105.34,0,0,4.8,0,0,0,20.63,0,0,102.83,5.37,0,0.71,0,0,0,9.16,0,0,0,0
 96-106,0,0,0,54.95,0,0,0.59,0.58,0,0,6.44,2.77,0,95.97,0,1,0,0,0,0,14.34,3.18,0,0.73,0
108-118,0,4.72,0,73.17,0,2.64,9.08,0,0,0,11.57,0,1.13,138.59,4.81,0,0,0,0,0,5.77,0,0,4.65,0
120,0,2.75,0,10.13,0,0,0,0,0,0,3.09,0,0,138.9,12.22,0,1.81,0,0,0,0,0,3.9,2.71,0
