stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,28.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.39,0,0,0,0,11.6,0,39.64,0,0,8.27,0,0,0,0
  7-9,18.07,0,9.5,0,0,0,26.57,0,31.32,9.08,0,61.05,4.34,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.57,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.61,0,0,0,0,4.47,0.92,0
 24-34,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,2.13
 36-46,0,0,0,0,0,0,0,0,5.12,0,0,0,2.24,0,0,0
 48-58,0,0,0,0,2.96,0,0,0.49,1.76,0,0,0,0.51,0,0,0.78
 60-70,0,0,0,0,13.85,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,10.97,1.16,0,0,0.88,0,0,0,0,0,0,0
 84-94,0,0,0,0,14.92,0,0,0,3.99,0,0,0,0,0,0,0
 96-106,0,0,0,0.71,5.85,0,0,0,0,0,0,0,0.72,0,0,0
108-118,0,0,0,0,2.86,0,0,0,0.57,0,0,0,0,0,0,0
120,0,0,0,0,5.18,0,0,5.18,0,0,10.18,0,0,0,0,0
