stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,43.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.05,10.1,0,8.47,0,0,0,2.84,0,0,0,2.09,0,12.49,2.29,51.81,0,0,0,0,121.2,0,10.35,0,1.29,0
 24-34,0,0,6.04,1.43,5.24,10.3,0,0,1.64,5.78,0,2.14,0,0,0,1.92,0.84,71.86,0,5.54,0,0.73,204.23,0.65,7.4,0,0.6,0
 36-46,0,0,0,1.21,0,19.14,0,0,13.21,1.48,0,0.95,0,0,0,1.39,0,68.51,0,9.39,0,0,58.95,0,6.05,0,2.39,0
 48-58,0,0,0,0,0,36.31,0.58,0,7.86,0,0,0,5.88,1.04,0,2.56,0,39.36,0,6.19,0,0,9.03,0,6.67,0,0,0
 60-70,0,0,0,0,0,51.64,0,0,3.11,10.57,0,1.17,4.54,9.81,0,0.7,0,20.71,0,14.24,0,0,8.26,0,1.04,0,0,0
 72-82,0,0.5,2.07,0,0,36.65,0,0,15.1,17.8,0,0,0.5,0,0,1.21,0.54,25.21,0,3.25,0,2.89,38.44,2.66,0,0,0,3.58
 84-94,0,0,1.06,2.72,2.85,65.26,0,0,21.09,27.62,0,0,0.74,2.95,0,0,0,8.07,0,12.02,0,0,53.68,0,4.7,0,0,0
 96-106,0,4.24,4.63,0,0,23.76,0,0,10.15,43.05,0,0,0,5.52,0.56,5.95,0,10.4,0.89,5.24,0,1.52,52.49,0,0,0,0,0
108-118,0,4.52,2.62,4.51,0,54.12,1.47,1.38,17.33,85.91,0,0,0.43,12.97,0,0,0,8.66,0,16.29,0,1.35,37.08,0,1.92,0.67,0,0
120,0,4.32,14.5,12.07,1.46,14.05,0,0,44.6,114.45,0,0,0,26.71,0,0,3,9.49,0,9.98,0,1.14,42.46,0,0,0,0,0
