stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.35,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.51,0,0,4.37,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,2.02,0,36.28
 24-34,0,0,0,1.34,0,0,5.92,0,0,0,0,0,0,0,0,0,763.74,0,0,4.79,5.01,0,0,0,57.34,0,0,0,0,1.52,0,0,3.09,0,0,0,0,40.74
 36-46,0,0,0,0,0,0,13.29,0,6.42,0,6.78,0,0,1.05,7.51,0,3357.22,0,0,6.55,25.88,0,0,2.22,195.49,0,0.73,0,0,6.63,0,0,20.81,0,0,0,0,35.43
 48-58,0,0,0,16.05,6.71,0,101.18,0.41,1.05,1.78,28.17,0,0,1.05,0,0,7642.38,0,0,1.79,66.9,1.46,0.54,8.8,452.58,5.06,1.1,1.9,0,4.04,0,42.97,76.1,0,0.64,6.24,0,30.68
 60-70,0,0,0,29.42,2.55,0,225.57,0.58,3.31,4.21,64.62,1.21,1.17,0,0.92,6.61,18855,0.88,1.05,0,75.4,0,7.4,4.78,388.05,0,2.31,0.85,0,39.87,0,0,47.15,0,0,1.96,0.64,88.94
 72-82,0,0,0,9.3,8.1,0,218.96,2.95,0,3.98,24,70.34,0,0,1.45,0,19836.85,1.73,53.98,14.35,63.92,0,1.29,8.1,598.96,5.2,1.33,2.46,2.17,7.52,1.48,3.02,40.7,0.67,1.85,7,1.13,109.86
 84-94,0,0,0,7.8,26.21,0,227.34,1.72,0,11.91,31.14,1.63,0,1.57,13.94,0,25463.25,1.03,5.43,1.13,62.66,0,10.47,8.53,257.21,0.76,0,4.92,4.79,41.49,0.67,0.63,17.74,2.5,6.05,10.52,5.54,283.45
 96-106,0,0,12.99,6.91,26.09,2.29,197.51,14.61,1.4,1.72,55.97,35.87,0,1.15,10.2,3.77,18799.3,1.76,197.82,0,86.95,0,4.64,7.18,280,65.84,5.38,1.78,0,35.65,18.21,0,17.76,0,0.89,14.25,0.72,232.52
108-118,0,0.58,0,25.92,27.16,4.34,97.51,0,4.21,0,21.34,4.25,0,0,3.02,0,24388.64,0,15.31,0,80.41,0,4.06,5.35,155.8,1.52,2.75,0.88,7.1,16.45,0.84,0,0,0,0,6.13,0,238.91
120,0,0,0,62.67,2.76,0,75.5,0,3.14,0,21.42,1.13,0,2.27,1.14,0,12850.5,0,0,0,25.57,0,0,11.49,130.46,3.31,0,0,0,4.99,19.08,0,0,0,2.41,0,3.95,61.85
