stage,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,mesenchyme,neural,paraxial.mesoderm,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,14.32,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.62,0,0,0
 14-21,0,0,0,0,0,0,0,0,11.55,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.17,0,0,0,1.77
 36-46,0,0,0,0,0,0,0,0,0.68,0,0,0,0
 48-58,0,0,0.67,0,0,0,0,0.5,2.66,0,0.57,0,0
 60-70,0,0,0,0,0,1.86,0,0,7.99,0,0,0,0
 72-82,2.21,0,0,0,0,0,0,1,7.47,0,0,0,2.42
 84-94,0,0,0,2.49,0,0,1.13,0.93,1.44,0,0,0,0
 96-106,2.58,0.62,0,1.7,0,0,0,0,5.24,0,0,1.64,0.58
108-118,0,0,0,4.44,0,0,0,0,2.79,0,4.05,2.17,0
120,0,0,0,23.4,3.46,0,0,0,0,0,0,1.19,0
