stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,41.49,1325.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,0,0,0,0,0,0
  5-6,115.76,1866.88,9.08,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,96.66,14.47,0,0,11.07,30.27,0,0,0,0,0,0
  7-9,21.99,37.36,40.55,0,0,116.86,0,0,0,0,23.64,0,0,0,0,0,0,0,0,0,0,0,763.86,60.53,0,0,215.55,0,0,0,0,0,0,0
 10-12,0,12.2,40.35,0,0,33.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.53,5.03,0,0,162.38,0,0,26.49,0,0,0,0
 14-21,0,0,0,7.74,1.49,0,0,0,3.09,2.16,0,0,0,0,0,0,0,0.85,2.08,0,0,5.17,46.21,0,0,0,0.82,6.71,1.18,0,4.37,25.31,1.02,0
 24-34,0,0,0,1.23,0,8.85,0,0,2.46,0,0,0,0,0,0,0,1.43,0,6.7,0,0,2.14,96,0,0.97,0,0,0,0,0,0.9,23.6,6.72,0
 36-46,0,0,0,0,0,4.93,0,0,3.22,0,0,0,0,0,0,0,0,0,0.95,0,0,0,82.13,0,0,0,0,2.55,0,0,0,9.56,0,0
 48-58,0,0,0,0.53,0,43.29,1.26,0,4.25,0,0,0.59,0,0,0,0,0,0,11.74,0,0,0.88,83.58,0,0,1.57,0,0.49,0,0,0,18.63,1.63,2.41
 60-70,0,0,0,0,0,44.09,2.17,0,4.5,0,0,0,0.61,0,0,0,0,0,6.22,0,0,0,49.18,0,0,0,0,0,0,0,0,8.23,1.26,0
 72-82,0,0,0,1.65,0,18.19,0,0,8.95,0,0,0.53,0.66,0,0,0.55,0,0,5.89,0,0,0.63,35.96,0,0.88,0,0,2.98,0,0,0,4.4,1.04,0
 84-94,0,0,0,1.22,0,7.84,1.11,0,3.89,0,0,0,0,1.18,0.9,0,0,0.83,9.49,0,0.95,1.45,26.07,0,0,0,0,0,0,0,0,8.68,4.38,0.88
 96-106,0,0,0,0,0,8.59,0,2.16,3.53,0,0,0,0,0,3.46,3.99,0,0,6.79,2.38,0,1.74,19.25,0,0,0.69,0,0,0,0,0,7.47,1.96,0
108-118,0,0,0,1.26,0,7.8,0,0.96,1.36,0,0,0,0,0,2.81,0,0,0,3.86,0,0,0,32.87,0,0,0,0,5.07,0,0,0,0,0,0
120,0,0,0,0,0,1.25,2.96,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0,0,49.97,0,0,0,0,0,0,0,0,0,0,0
