stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,8.73,0,2.17,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.7,17.63,0.98,0,0,0,0,0,22.61,25.33,0,21.61,18.14,0,1.36,0,0,2.99,2.05,16.64,2.73,0,0
 36-46,0,0.96,0,0,0,9.28,52.17,0,0,0,0,0,0,0,21.04,0,16.51,20.99,1.86,0,0,0,0,3.16,4.09,3.62,0,0
 48-58,0,0.43,0,0,0,11.23,45.69,2.03,1.4,0,0,0,0,0,16.31,0,2.2,56.47,0,0,0,0,0.97,3.91,0,10.95,0,9.79
 60-70,0,0,0,0,0,16.15,20.52,9.74,0,0,0,0,0,0,43.43,0,4.21,20.79,0,1.23,7.11,0,0,12.57,0,2.78,0,0
 72-82,0,0,0,9.13,0,20.11,20.69,5.15,2.53,0,14.56,0,0,0,30.82,0,3.27,35.09,0,0,0,0,0,5.78,0,0,1.9,5.15
 84-94,0,0,1.24,0,0,26.73,7.63,1.37,1.68,0.57,3.57,1.23,0,0,39.9,0.85,7.47,12.32,0,0,0,0,2.44,0,0,6.63,0,0
 96-106,0,0,7.28,1.68,0,11.34,14.72,0.64,14.05,0,10.18,0,5.01,10.14,26.01,0,10.17,49.63,0,0,1.18,3.14,9.5,0.72,0,2.81,0.92,0
108-118,0,0,2.55,0,0.5,12.49,16.67,5.38,3.65,0,4.13,0,0,0,41.54,0,1.88,5.8,0,1.11,0,0,0,1.59,0,1.84,0,1
120,0,0,3.47,0,0,0,21.3,0,0,0,0,0,0,0,0,0,0,53.47,0,0,0,0,0,0,0,7.65,0,0
