stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.66,5.23,1.03,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,15.87,0,0,0.94,1.08,5.6,0.86,0,5.07,6.94,0,0,0,0
 24-34,0,4.66,0.98,1.34,0,0,0,0.9,2.23,0,0,0,0,0,1,12.38,0,0,1.5,18.39,0,0,0,0,0.65,0,0,0,7.41,0,3.18,0,0
 36-46,0,0,0,1.35,3.45,1.04,0,1.81,0,0,0,0,0,1.49,0,9.59,0,0,1.36,49.41,1.33,0,0,0,6.7,0,0,0,9.22,0,2.44,0,0
 48-58,0,0,0,1.04,0,0,0.4,10.34,0,0,0,0,0,0,0,10.14,0,0,0.47,19.94,0.5,0,0,0,4.22,0,0.61,0,7.94,0,0,0,0
 60-70,0,0,0,4.86,0,0,0,1.28,0,0,0,0,0,0,0.8,4.17,0.85,0,0.63,24.64,0,5.13,0,0,3.71,0,0,0,2.08,0,0,0,0
 72-82,0,3.25,0,8.36,2.53,0.57,1.09,8.57,0,0,1.03,0,0.55,0,0,13.88,0,1.82,0,85.46,0,0.75,0.83,0,2.28,0,0,0,4.87,1.97,7.28,0.62,0.55
 84-94,0,0.6,0,1.52,0,2.29,1.43,3.7,0,1.32,0,0,0,0,0,8.53,0,0,0,30.81,0,0,0.78,0,14.93,0,0,0,1.8,0,5.3,0,0
 96-106,0,0,0,18.66,3.09,0.66,0,3.93,0,0,0,0,0,0,0,5.11,0,0,0.83,39.9,0,0,1.42,0,11.25,0,0,0,0,0,0,0,0
108-118,0,1.69,0.69,14.82,0,0,0,2.2,0,0,0,0,0.67,0,0.48,5.54,0,0,0,37.06,0,0,3.78,0,14.8,0,0,0,0.47,0,0.68,0,0
120,0,1.58,0,22.79,0,0,0,0,0,0,0,3.32,0,0,0,25.84,0,0,0,26.97,0,0,0,0,1.1,0,0,0,0,0,0,0,0
