stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.1,102.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,11.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0.85,0,0,0,0,0,0,3.74,0,0,0,0.88,0,0,0,0,0
 24-34,0,0,0,0,1.71,0,0,13.57,0,0,0,4.28,0,0,0.9,0,6.55,0,12.61,0,0
 36-46,0,0,0,0,1.44,0,0,57.03,2.43,0,0,0,0,0,0,0,0,0,0.73,0,0
 48-58,0,0,0,0,39.14,0,0,101.57,0,0,0,7.72,0,0,0,0,0,0,2.36,0,1.17
 60-70,0,0,0,0,165,0.86,0,57.99,0.58,0,0,19.22,0,0,0.79,0,0,0,0.7,0,0
 72-82,0,0,0,0,539.96,1.47,0,102.78,1.45,0,0,12.74,0.53,0,0,0,0,2.63,7.42,0.76,2.27
 84-94,0,0,0,5.6,225.18,2.97,0,115.18,1.49,0,0,7.41,0,0,0,0,0,13.45,2.78,0.77,0
 96-106,0,0,0,0,365.92,2.52,0,115.43,2.42,0,0,10.96,0,0,0.62,0,0,2.05,3.7,0,0
108-118,0,0,0,0,317.57,0.56,0.45,152.22,0,4.52,2.28,9.96,0,0,6.34,0,0,10.55,2.05,0,0
120,0,0,0,1.22,170.81,0,0,173.76,3.6,0,0,19.9,0,3.1,0,0,0,7.88,21.19,0,0
