stage,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,12.52,9.43,0,0
 24-34,1.28,0,2.19,1,0,0,0,0,0,0,57.44,56.05,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,176.35,44.71,1.7,0
 48-58,0,0,2.73,0,0,0,0,1.86,0,0.79,260.49,33.9,0,0
 60-70,0,0,8.41,0.64,0,0,0,0,0,0.68,290.54,192.67,0,5.1
 72-82,0,0,33.07,3.56,0,0,0,3.57,0,0.91,508.58,121.55,0,0
 84-94,3.5,0,28.89,4.22,0,0,1.88,1.3,1.22,0,312.86,89.36,0,0
 96-106,2.03,3.03,29.2,2.68,1.02,1.32,0,0.59,0,0,447.59,42.3,0,0
108-118,0,0,24.12,4.01,5.7,0,0,0.43,0,0,364.66,82.27,3.09,0
120,10.01,0,14.62,0,0,0,0,4.65,0,0,697.03,39.13,0,0
