stage,blastomeres,exocrine.pancreas,fast.muscle,glial,heart,immune,mesenchyme,muscle,neural,olfactory,periderm,vascular.smooth.muscle,xanthophores
  3-4,13.2,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.18,0,0,0,0
 14-21,0,0,0,0,0,1.01,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.75,0.84,0,0
 36-46,0,0,0,0,2.9,0,0,0,0,0,0,0,0.57
 48-58,0,0,0,0.5,0,0,0,0,0.91,0,7.01,0,0
 60-70,0,0,1.17,0,0.61,0,0,0,1.73,0,0,0,0.77
 72-82,0,0,3.46,0,0,0,0.61,0,0,0,0.87,0.78,0
 84-94,0,0,4.49,0,0,1.04,2.27,0,0,0.8,5.37,0,0
 96-106,0,0,7.46,1.94,2.19,0,2.96,0.92,0,0.9,0,0,0
108-118,0,0.57,0.86,0,0,0.67,0,1.6,0,2.19,0.84,0,0
120,0,0,18.62,0,0,3.17,0,0,4.22,3.56,1.26,0,0
