stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,10.58,456.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.94,350.16,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,0,0,8.05,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,138.5,0,0,19.89,0,0,0,0,0,0
 10-12,0,3.65,0,32.3,0,0,0,0,0,0,0,0,0,0,0,89.83,0,0,19.15,0,0,0,0,0,0
 14-21,0,0,0,0,16.11,1.4,0,0,0,0,0,0,0,0,0,2.59,0,0,1.02,0,0.81,0.87,0.85,1.04,0
 24-34,0,0,0,0,8.91,1,0.7,1.6,0,0,3.14,0,0.66,0,0.67,14.18,6.35,1.69,0,13.04,0,0.91,0,1.69,0
 36-46,0,0,0,0,1.54,0,0,0,0,0,0,0,0,2.09,0.95,2.64,0.75,0,0,7.04,0,0,0,2.17,0
 48-58,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0.9,0,1.5,0.91,0,0,3.87,0,0,0,0,0
 60-70,0,0,0,0,1.22,0,5.77,0,0,0,0,2.05,2.97,0,0,2.79,1.5,0,0,3.16,0,0,0,0,0
 72-82,0,0,0.69,0,7.18,0,0.58,4.08,0,1.7,0.61,1,0,1.15,0.83,5.04,3.64,0.81,0,13.83,0,0,0,0,2
 84-94,0,0,0,0,3.65,0,0.62,2.11,0.66,0.56,0.64,1.23,1.49,0,0,12.39,0.6,1.95,0,8.42,0,0,0,0,0
 96-106,0,0,1.08,0,13.19,0,1,2.39,0,0.91,1.21,1.64,0,2.84,0,2.33,4.13,2.07,0,9.95,0,0,0,0,2.52
108-118,0,0,0,0,1.35,0,1.54,3.14,0,0.61,0,0,0,0,0,1.44,3.83,3.17,0,5.56,0,0,0,0,0.91
120,0,0,0,0,2.17,0,1.06,1.02,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0
