stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,31.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.02,0,0,0,0,0,0,0,0,0,0,0,17.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,0.83,0,4.8,0,0,0,0,0,2.09,0,0,0,0
 24-34,0,0,0,0,2.91,0,0.67,0,1.53,0,5.42,2.16,49.51,2.47,0,0,0,0,8.5,0,0,0,0
 36-46,0,0,0,9.72,6.6,0.63,0,0,0,0,3.34,0,28.87,2.38,0,0,0,0,9.84,0,0,0,0
 48-58,0,0,0,0,17.11,6.03,0.92,0,0,0,0.55,0,27.82,0,0,0,0,0,2.42,0,2.03,0,2.14
 60-70,0,0,0,0.69,30.35,1.04,0,0,0,0,5.15,0,43.53,0,0,0,0,0,0,0,0,0,3.58
 72-82,0,0,0,0,28.67,0,0.76,0,0,0.88,7.21,2.04,46.15,0,0.84,0,2.23,0,0,0,3.12,0.86,0
 84-94,0,0,1.53,3.41,4.82,0,0,0.74,0,2.13,4.49,0,27.73,0,0,0,0,0,0,1.05,0,0,0
 96-106,0,0,0,0.76,11.44,3.04,0,0,0,0,1.7,0.87,13.44,0.66,0,0,1.59,0,0.78,0,0,0,0
108-118,0,0,1.15,1.75,5.44,0.43,0.54,0,0,0,4.02,0,31.56,0,0,0,1.98,0,0,0,0.42,0,0
120,0,0,0,0,11.03,7.44,0,10.73,0,0,1.94,0,35.82,0,0,0,0,1.52,0,0,0,0,0
