stage,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,spinal_cord
  5-6,6.47,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.57,0,0
 10-12,0,0,0,0,0,0,0,5.61,3.86,0
 14-21,0,0,0,0,0,0,0,16.12,1.12,0.95
 24-34,0,0,5.65,0,1.7,0,1.29,11.82,0,3.43
 36-46,0,0,1.45,1.68,0,0,0.65,6.7,0,5.37
 48-58,0,0,7.48,0.38,1.8,0,0,5.62,0,1.93
 60-70,0,0,5.88,2.77,0,5.29,0,0,0,2.18
 72-82,0,0,1.47,0.68,0.98,0,0,0,0,0
 84-94,0,0.71,3.02,0,0,0,0,0,0,0
 96-106,0,0,1.58,2.51,0,0,0,0,0,0
108-118,0,0,3.21,1.01,0,0,0,2.99,0,0
