stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.09,30.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,6.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.71,0,0,0,0,1.33,0,0,0,0,0,0,681.88,0,8.9,0,0,0,37.63,0,0,0,0,0,4.98,0,0,1.35,0,0,0.85,0,0
 36-46,0,0,0,0,0,0,4.12,0,0,1.16,0,0,0,0,0,0,1864.46,0,3.95,0,0,0,70.22,0,0.93,0,0,0,3.81,0,0,12.79,0,0,0.91,0,0
 48-58,0,0,0,0,0,7.79,27.38,0,0,2.92,0,0.67,0,0,0,0,2005.16,5.28,5.77,0,1.59,0.91,61.94,0,0,0.66,0,0,1.04,0,0,7.43,0,0,3.1,0,10.48
 60-70,0,0,0,0,21.7,0,68.2,0,0,8.68,0.63,0,0,0,2.03,0,2247.86,0,12.43,0,0.7,1.59,77.79,0,18.9,0,0,0,11.56,0,0,18.26,0,0,6.29,0,0
 72-82,0,0,0,0,0,0,40.1,0,0,11.37,18.17,0,0,0,1.03,0,2566.96,0,4.59,1.79,0,0,42.97,0,0,0,0,0,5.59,0,0,1.51,0.91,0,0,0,8.32
 84-94,0,0,0,0,2.27,12.67,15.41,0.62,0,0.89,10.79,1.52,0,0,0.81,0.78,920.13,0,14.89,0,8,9.06,40.36,0,0,0.83,0,0,0,0,0,0,0,1.48,6.84,0,1.56
 96-106,0,0,5.57,1.03,3.76,4.14,44.41,0,1.52,14.51,797.41,0,3.47,0.6,0,1.67,812.17,0,20.83,1.09,1.41,3.75,105.73,0,1.67,0.74,0,0,14.52,0,0,0,0,0,9.26,0.98,0
108-118,0,0,3.05,0,6.77,2.15,33.02,3.23,53.26,7.8,2962.95,0.69,2.13,0,1.36,0,498.06,0,28.65,6.45,0.63,2.55,127,0.59,3.24,2.17,0,3.85,9.14,0,0.42,7.15,0,1.84,0,2.67,13.71
120,2.37,0,7.47,0,12.71,0,57.21,2.81,3.1,25.93,3420.29,0,19.89,0,0,0,964.47,0,84.91,0,1.83,11.89,399.71,0,0,0,0,20.33,0,1.21,0,4.81,0,0,4.33,5.66,2.59
