stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,59.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.01,38.16,0,24.41,0,0,19.44,0,0,0,0,11.84,0,0,0,0,0,0,0,0,0,0,0,145.36,66.14,0,411.28,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.28,35.28,0,159.33,0,0,14.8,0,0,0,0,0,0
 14-21,0,0,0,0.98,1.97,5.02,0,0,0,0,0,0,0,0,0,0,0,4.29,0,2.07,0,0,21.04,13.04,1.08,0,9.5,5.24,5.47,0,0.86,9.94,0,0,0,0
 24-34,0,0,3.88,0,5.88,0.62,0.6,0,0,0,0,0,5.73,0,4.87,0,0.86,10.41,0,6.9,0,0,13.53,15.42,0,0,0,4.96,0,0,1.22,38.96,0,0,5.58,0
 36-46,0,0,6.25,0,2.44,0,1.09,0,0,0.85,0,0,6.43,0,1.54,0,0.77,0.67,0,4.52,4.32,0,2.35,24.93,0,0,0,1.84,0,0,0,4.51,0,0,13.57,0
 48-58,0,0,3.95,0,5.33,0,7.97,0,0.54,0.38,0,0,6.23,0,2.08,0,0,0,11.04,5.96,0,0,4.6,31.2,0,0,0,8.62,0,0,0,6.17,0,0,6.58,0
 60-70,0,0,3.61,0,0.83,0,10.2,0,0,2.69,1.36,0,0,0.79,3.25,0,0,0,38.24,17.37,0,0,4.37,54.11,0,0,0,4.32,0,0,0,8.53,0,0,1.37,0
 72-82,0,0,3.09,0,0.61,0,9.1,0,0,1.13,1.88,0,5.99,1.04,12.95,0,0,0,6.88,11.46,0,1.98,4.54,55.52,0,0,0,0.77,0,0,0,1.23,0,0.82,15.31,0
 84-94,0,0,6.33,0,1.93,1.46,4.98,2.24,0,0,0,0,2.05,7.51,18.88,0,0.78,0,29.67,12.05,0,0,0.86,30.33,0,0.76,0,0,0,0,0,5.17,0,0,36.7,1.16
 96-106,0,0,0,0,1.8,0,8.03,0,0,2.93,2.3,0,0,5.99,10.6,0,0,1.06,16.05,10.34,0,0,4.53,13.1,0.64,0,0,2.64,0,0,0,12.63,0,0.58,12.45,0
108-118,0,0,0,0,6.86,0,4.21,0,0,2.16,3.39,0,1.87,5.59,14.06,3.85,0,0,46.73,7.47,0,0,1.83,14.65,0,0,0,0,0,0,0,4.83,0.81,0,10.7,0.68
120,0,0,1.73,0,1.14,0,10.92,2.98,0,0,8.16,0,15.16,12.89,9.23,0,0,0,10.6,11.62,0,0,1.9,48.14,0,0,0,0,0,0,0,17.95,0,0,38.18,0
