stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,187.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0
  5-6,27.31,432.14,0,12.33,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,64.41,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0
  7-9,48.59,6.57,0,17.9,0,0,45.36,0,0,0,0,0,29.51,0,0,0,0,0,0,0,0,0,0,0,368.46,8.74,0,0,168.49,3.26,0,0,0,0,0,0,0,0,0
 10-12,0,11.55,0,0,0,5.46,72.05,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,450.39,18.48,0,0,137.42,0,0,25.06,0,0,0,0,0,0,0
 14-21,2.31,0,2.79,1.14,33.3,10.93,9.08,0,0,0,1.94,0,0,0,0,3.79,0,0,0,0,10.32,0,0,12.02,187.66,0.86,2.42,3.29,1.66,16.7,23.4,4.65,1.92,18.28,52.63,0,5.26,0,0
 24-34,0,0,0,0,4.94,0,7.64,0,1.55,0,2.53,0,0,0.89,0.64,0,0,0.75,0,0,4.74,0.93,0,2.3,89.63,0,2.66,0,0,7.39,0,1.04,0.99,4.55,37.81,0,2.56,0,0.91
 36-46,0,0,0,0,1.16,0,13.02,1.99,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,2.08,116.15,0,5.55,0.64,0,14.59,0,0.71,0,0,15.18,0,0,0,0
 48-58,0,0,0.61,0,2.57,0,44.22,0.65,0.39,0,9.31,0.58,0,0,0,0.38,0,0.77,0,0,5.54,0.59,0,0.89,127.4,0.56,4.31,0,0,11.41,0,0.53,0.46,0,12.72,0,6.84,0,0.89
 60-70,0,0,0,0,2.08,2.21,99.47,1.66,0,0,1.27,0,0,0,0,0,0,0,0,0,8.74,0.58,0,0,84.26,0,0.99,0,0,20.85,0,0,0,0,12.61,0,0,0,0.69
 72-82,0,0,0,0,0.49,4.49,86.28,0,0,0.7,4.77,1.26,0,0,2.85,0,0,0,0,0,11.96,0.58,0,1.13,79.54,0,2.28,0.5,0,3.83,0,0,0,0,4.05,0.53,2.59,0,3.62
 84-94,0,0,1.53,0,0,2.5,63.01,0.57,1.76,0,2.76,2.95,0,0,3.61,2.78,7.05,1.31,0,1.25,6.57,0,0.72,0,38.51,1.64,4.45,2.18,0,13.28,0,1.48,0,0,2.77,5.97,2.55,0,2.62
 96-106,0,0,0.99,0,4.92,10,80.79,0,0.98,1.24,13.99,2.31,0,0.68,6.22,3.73,0,0.67,0,0.69,12.98,3.88,0,1.01,59.32,0,8.09,3.68,0,2.39,0,0,0,0,0,0,2.68,0,0.73
108-118,0,0,2.4,0,5.8,6.1,67.05,0.68,1.21,2.2,8.68,1.99,0,0.49,5.74,1.24,0.68,0,0.67,2.27,17.44,0,0,1.3,108.41,0.67,3.4,0,0,4.33,0,0,0,0,3.03,6.97,6.25,0,1.42
120,0,0,0,0,3.56,10.76,71.12,0,0,1.44,0,0,0,0,15.79,0,1.87,4.64,0,0,3,0,0,3.97,124.51,0,15.55,2.3,0,6.74,0,0,0,0,0,1.27,6.1,3.59,3.6
