stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,9.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.95,0,0,0,0,0,0,0,0,0,0,7.56,0,1.41,2.55,2.19,0,0,0,1.66,0.99,8.15,0,0,0
 24-34,0,2.33,0,0,0,0,0,0,0,0,0,0,48.8,0,10.07,1.8,10.54,0,4.62,0,0,0,6.48,0,0,0
 36-46,0,1.24,0,0,0.56,0,0,0,0,0,0,0,50.08,0,0.61,0.63,13.7,0,7.44,0,0,0,8.19,0,0,0
 48-58,0,2.96,0,0,2.25,0.41,0,0,0,0,0.92,0,105.05,0,3.22,2.31,44.11,0,8.38,0,0,0,0.79,0,0,0
 60-70,0,0.71,0,0,2.22,0,0,0,0,0,0,0,227.61,0,0,2.99,18.2,0,22.46,0,0,0,2.82,0,0,0
 72-82,0,1.16,0,0,3.83,0,0.67,0,0.6,0,0,0,327.5,0,3.16,2.38,5.81,0,23.6,0,0,0,0,1.58,0,0
 84-94,0,1.18,0,0,11.77,0,0,0,0,0,0,0,260.3,0.61,0,1.67,12.33,0,39.66,1.27,0,0,0,0,0,0.98
 96-106,0,2.08,1.42,0,1.96,0,0.89,0,0,0,0,1.24,256.18,1.42,0,5.34,3.17,0,30.94,0,0,0,2.34,0,0,1.36
108-118,0,1.04,0,3.92,2.04,0.42,0,3.94,0.48,1.15,0,1.57,215.06,0,0.57,12.32,3.14,0.7,35.45,0,0,0,0,0,0.81,0.49
120,0,13.52,0,0,7.32,0,0,0,0,0,0,0,225.15,0,1.68,2.77,8.5,0,74.93,0,0,0,0,0,0,0
