stage,glial,mesenchyme,neural,olfactory,otic,pronephros,spinal_cord
 14-21,1.17,0,0,0,0,0,2.97
 24-34,0,0,0.86,0,0,0,3.29
 36-46,0.83,0,0,0,0,0,0
 48-58,0,0,0,0,7.41,0.61,0.75
 60-70,5.87,0,2.84,0.98,0,0,0
 72-82,0,0,0.94,0,0,0,0
 84-94,0,0,0.57,0,0,1.79,0
 96-106,0,1.57,0,0,0,0,0
