stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.05,452.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.16,0,0,0,0,0,0,0,0,0
  5-6,16.22,323.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.06,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0
  7-9,3.57,25.8,0,3.54,0,0,0,5.42,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,196.93,0,0,0,83.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.08,0,42.74,0,4.67,0,26.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.66,0,0,0,38.95,0,0,0,10.73,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,5.44,1.83,0,1.04,0,0,1.72,0,0,0.85,0,0,0,0,0,0,0,0,2.13,56.27,0.95,0.98,0,0.86,0,0,6.95,0,0,4.13,11.99,0,0,0,0
 24-34,0,0,0,0,1.31,0,0,2.66,0,0,1.99,0,0,0,3.99,0,0,0.68,0.92,7.22,0.68,0,1.23,95.83,0,1.62,0,0,0,5.01,0,0,10.5,0.65,27.86,0,19.5,0,0
 36-46,0,0,0,0,0,0,0,5.94,0,0,2.85,0,0,0,8.35,0,0,0,0,8.22,0,0,2.51,103.9,0,0.87,1.69,0,0,0,0,0,0,0,26.91,1.37,4.68,0,0
 48-58,0,0,0,0,0.54,0.54,0,16.56,0,0,8.59,0,0,0.39,28.16,0,0,0,0,11.39,0,0,1.73,67.82,0,0,0.4,0,0.53,0,0,0,0,0,23.33,0,6,0,0
 60-70,0,0,0,0,0.71,5.21,0,19.14,0,0,5.77,0,0,0,12.93,2.48,0,0,0,9.3,0,1.39,1.96,48.14,0,0.98,0,0,1.85,0.59,0,0,0,0,19.1,0,2.36,0,1.05
 72-82,0,0,0,0,0,6.6,0,23.44,0,0,18.26,0,0,1.42,83.24,0,0,0,0,11.64,0,0,0.89,37.23,0,0,0,0,1.06,0,0,0,0,0,4.96,0,21.75,0,0
 84-94,0,0,0,0,0,2.07,0,21.54,0,1.14,10.94,0,0,0,82.62,0,0,0,0,9.13,0,2.04,1.31,31.53,0,0,0,0,0,1.86,0,0,0,0,7.55,0,7.25,0,2.43
 96-106,0,0,0,0,0.94,11.46,0,5.06,0,0,13.28,1.69,0,0.8,164.66,0.58,0.75,0,0,8.57,0,0,1.03,15.45,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0
108-118,0,0,0,0,1.41,4.28,1.7,16.1,0.54,0,22.34,0,0,0,152.83,0,0.53,0,0,18.72,0,0,1.82,25.8,0,0,1.1,0,1.35,0,0,0,0,0,0,0,8.74,0,0
120,0,0,0,0,0,0,0,1.29,0,0,1.65,0,0,0,115.81,0,0,0,0,4.69,0,0,2.53,23.08,0,0,0,0,0,0,0,0,0,0,0,0,6.79,1.8,0
