stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,10.93,0,0,0,0,0,0,1,0,0,0,0
 36-46,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.31,0,0,0,0.59,0,0,0,0,0,0,0
 48-58,0,0,0,0.85,0,2.79,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0.84,47.35,0,0,0,0,0,0,0.59,0,0,0,0
 60-70,1.12,0,0,0,10.73,2.69,0,0,0,2.33,0,0,0.79,0,0,3.74,0,1.37,0,0,0,87.34,0,0,2.69,3.21,0,0,0,0,0,0,0
 72-82,0,0,2.18,0,240.53,11.68,0,0,0,5.19,3.71,0,0,0,0,0,0,5.6,0,0,2.41,99.23,2.29,2.21,0,2.47,0,0,6.07,1.33,0,0,0
 84-94,0,0,2.86,0,404.1,10.25,0,0,0.94,5.83,1.86,0.91,1.2,0,0,0.65,0,10.54,0,0,2.28,169.47,0,0,0,4.39,0,0,0,0,3.43,0,0
 96-106,0,0,0.58,0,746.69,20.91,5.51,0,4.34,17.66,9.43,0,3.22,0,0.79,3.01,0,14.16,7.63,0,1.37,116.14,1.65,9.73,0,6.12,0,0.6,0.57,2.52,3.77,0.93,3.34
108-118,0,0,2.84,10.03,1149.18,62.13,0.45,0.64,0,4.05,27.52,0,1.44,1.11,0,3.71,0.55,8.72,0,2.34,1.89,143.85,0,0,0,2.57,0.59,0,0,0,1.03,0,0
120,0,0,7.09,12.99,566.36,32.51,0,17.64,0,7.26,14.88,0,0,0,0,0,0,7.16,0,8.45,0,97.72,0,0,0,2.48,0,0,0,0,0,1.93,0
