stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,11.1,161.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.25,263.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.45,43.52,4.61,0,0,0,26.45,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,264.58,13.53,0,84.74,3.28,0,0,0,0,0,0,0,0
 10-12,0,20.13,6.19,0,9.23,0,42.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.47,10.17,0,61.68,0,4.37,4.19,4.8,5.88,0,0,0,0
 14-21,0,0,0,6.21,2,0,1,0,0,0,1.01,0,0,0,0,0,0,0,1.11,0,0,3.62,22.31,0,0,0,1.29,0,5.04,0,8.29,3.78,0,0,0
 24-34,0,0,0,1.18,0,0,3.46,0,0,0,0,1.11,0,0,0.74,0,0,0,5.38,0.63,0,1.29,29.82,0,0,0,0.69,0,0,0,0,2.07,0,0,0
 36-46,0,0,0,3.69,0,0,16.31,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,15.64,0,0,0,1.61,0,0,0,0,4.65,0,0,1.72
 48-58,0,0,0,2.56,0,0,15.46,0,0,1.79,0,0,0,0,11.87,0,0,0,4.34,0,0,1.15,30.69,2.65,0.4,0,1.59,0,0,0,0,6.34,0,0,0
 60-70,0,0,0,4.31,0,0,12.7,0,5.6,0,1.66,0,0,0,0,2.05,0,0,19.71,0,0,0,37.16,0,0,0,5.72,0,0,0,0,6.35,0,0,0
 72-82,0,0,0,1.62,0,0,4.23,0,0,9.68,0,0,0,0.57,0,0.97,0,0.57,10.81,0,1.75,2.08,45.38,0,0,0,3.15,0,0,0,0,0,0,0,0.54
 84-94,0,0,0,0.63,0,0,8.76,0,0.57,2.26,0,0,0,0.75,0.6,0,0,0,6.82,0,0,0.84,19.31,0,2.89,0,8.06,0,0,2,0,4.99,1.57,0,5.96
 96-106,0,0,0,0,0,0,14.16,0,0.93,7.39,0,0,0.73,0,0,0,0,0,11.18,0,0,0.83,16.06,0,0,0,8.68,0,0,0,0,0,0,0,2.45
108-118,0,0,0,1.55,5.9,2.22,16.47,0.98,0,2.2,0,0,0,1.2,1.33,0,0.55,0,11.07,0,0,0.91,21.57,0,1.02,0,1.26,0,0,0,0,0,0,1.16,0
120,0,0,0,0,1.14,0,0,0,0,0,0,0,0,5.43,0,0,0,0,1.84,0,0,0,41.7,3.27,0,0,6.94,0,0,0,0,0,0,0,0
