stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.49,8.56,2.85,0,0.84,0,0,0,0.86,0,2.61,0,0,0,0,0,0,0,2.15,0,0,8.67,30.99,0,0,0,1.41,0,3.86,3.95,0,0,0,5.6,0,0,0,0,0
 24-34,1.31,0,4.91,0,0,2.91,0,0.82,0,4.7,0,0,0,0,0.7,0,0,0,0,10.56,0,0,4.66,51.76,1.94,0,11.6,0,0,6.34,0,0,0,1.95,9.95,0,0,2.33,0,2.07
 36-46,0,0,0,0,0,7.39,0,3.44,0,2.43,0,0,0,0,0,0,0.79,0,0,5.58,0,0,1.66,38.01,0,1.24,0,0,0,0,0,0,0,0,12.19,0,0,0,0,0
 48-58,0,0,1.92,0,0,11.34,0.67,0,0,4.3,0.38,0,0,0,0,0,0,0,0.8,6.78,0,0.79,0.84,38.34,0.78,3.22,0.44,0,0,0.42,0,0.62,0,0,4.5,0,0,0,0,0
 60-70,0,0,15.18,0,0,28.56,0,0,0,6.64,1.82,0,0.79,0,0,0,0.8,0,0,9.53,0,0,2.1,46.19,0.63,0,0,0,0,2.51,0,0,0.71,0,6.66,0,0,0,0,0
 72-82,0,0,1.55,0.89,0,12.52,0,1.28,0,3.8,0.81,0,0,2.2,0,0,1.17,0,0,19.37,0,0,0,22.11,0,0.97,0,0,0.71,2.71,0,0,0,0,0.98,1.44,0,5.46,1.52,6.52
 84-94,0,0,0,1.05,0,4.92,0,0.59,0,8.62,0,0.91,0,1.57,0,0,2.01,0,0,18.79,1.01,1.08,0,12.15,0,1.1,0,0,0,2.51,0,0,0,0,0.82,0,0,0.75,0,0.64
 96-106,1.53,0,1.8,0,0,9.22,0,0,2.21,10.09,1.11,0,0,0.59,1.89,0.64,0,0,0,15.53,0,0,0,23.54,0,0,1.09,0,2.14,2.46,0,0,0,0,0,1.01,2.83,0,0.64,0
108-118,0.52,0.49,3.77,1.05,0.9,14.08,0,0,0,1.16,3.56,0,0,3.22,0.58,0,0.52,0,0,7.83,0,1.08,0.85,18.94,1.52,0,0,0,0,3.25,0,0,0,0,0.63,0,0,2.38,0,0
120,0,0,0,3.38,0,12.67,0,1.12,0,15.93,0,0,0,0,0,0,0,1.85,0,9.39,0,0,0,26.82,1.94,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0
