stage,axial,blastomeres,endoderm,eye,mesenchyme,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites
  3-4,10.32,356.95,0,0,0,0,0,0,0,0,0,0
  5-6,15.51,198.96,0,0,0,89.07,0,0,0,0,0,0
  7-9,6.46,13.19,22.95,0,0,103.83,0,400.58,0,0,0,0
 10-12,0,0,0,0,0,22.25,68.09,1289.63,280.11,25.11,0,109.82
 14-21,0,0,0,0,0,0.89,0,0,245.46,0,4.15,71.08
 24-34,0,0,0,0,0,0,0,0,3.77,0,0,43.61
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.67
 48-58,0,0,0,0,0,3.92,0,0,0,0,0,0
 60-70,0,0,0,2.69,1.94,0,0,0,0,0,0,0
 72-82,0,0,0,0.61,0,0,0.57,0,0,0,0,0
 84-94,0,0,0,0,1,0,0,0,0,0,0,0
 96-106,0,0,0,5.69,0,0,0,0,0,0,0,0
