stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,lateral.line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,68.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.94,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.47,5.77,0,0,0,0,0,0,0,0
 10-12,0,10.05,0,0,0,0,0,0,0,0,0,0,3.73,0,0,115.06,6.18,0,0,46.19,0,32.63,0,6.57,0
 14-21,0,0,0,0,0.89,3.59,0,0,65.68,0.97,0,0,0,0,2.35,44.84,3.73,3.13,8.89,1.01,12.58,62.88,1.66,189.32,0
 24-34,0,0,0,1.78,5.25,0,0,1.6,84.95,0,0,0,0,0,5.05,79.49,0,31.25,7.14,0,0,27.93,0.62,155.19,0
 36-46,0,0,1.35,0,0,2.17,1.34,0.99,80.17,0.73,0.93,0,0.85,0,0,95.39,0,56.79,3.72,0,0,20.41,0,146.91,0
 48-58,0,0,0,0,0.94,0,8.26,0,68.54,0,0,0,0,0,3.28,49.93,0,27.6,6.94,0,0,3.39,0,109.49,0
 60-70,0,0,0.62,0,0,0,3.46,0,87.15,0,0,1.21,0,0,2.13,57.6,0,35.01,5.17,0,0,0,0,72.19,0
 72-82,0,0,1.31,0,0,0,7.16,0.76,68.02,0,0,2.88,0,0,1.07,52.4,0,36.81,8.14,0,0,3.15,0,34.66,0
 84-94,0,0,1.14,1.01,0,0.78,8.62,0,42.94,0.93,0,2.89,0,0,0,29.77,0,26.63,10.77,0,0,5.68,0,27.73,0
 96-106,0,0,0,0,0,0,1.66,0,49.6,0,0,9.88,0,0,0,23.21,0,42.5,17.07,0,0,5.41,0,28.03,0
108-118,0,0,0.76,0.77,0.87,6.15,10.5,0,51.99,0,0,8.2,0,0.76,0.73,29.89,0,30.44,20.82,0,0,4.66,0,30.86,0
120,0,0,1.22,0,0,0,6.74,0,60.52,0,0,8.14,0,0,0,39.58,0,53.71,51.04,0,0,4.93,0,39.15,12.79
