stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,pronephros,spinal.cord
  5-6,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0
 14-21,0,0,1.09,0,0,0,0,0.96,0,0,2.14,0,0,0,0
 24-34,0,0,0,1.86,0,0,0,0,0,0,5.16,0,0,0,3.68
 36-46,0,1.65,0,0,0,0,0,0,3.96,0,15.15,0,0,0,3.63
 48-58,0,0,0,0.41,0.9,0.53,0,0,2.11,0,21.17,3.07,0,0.46,1.4
 60-70,0,0,0,9.93,0,0,0,0,0,0,8.62,0,0.6,0,3.16
 72-82,0,0,0,8.95,0,1.59,0,0,0.52,0,8.93,0,0,0,7.55
 84-94,0,1.48,1.53,1.63,0,0,0,0,0,0,10.1,0,3.51,0,6.7
 96-106,0,0,0,12.02,0,0.67,0.83,0,0.85,1.95,2,0,0.68,0,0
108-118,0,2.95,0,4.53,0,1.9,0,0,0,0,4.65,0,0,0,0
120,0,0,0,0,0,0,5.37,0,0,0,0,0,1.12,0,0
