stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.8,21.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.93,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,1.22,0,0,11.95,0,0,0,0,0,0,0,0,0.85,2.49,0,0,0,0,0
 24-34,0,0,0,0.7,0,3.24,0,0,0,0.88,0,0.62,0,0.93,0,0,5.24,0,0,25.15,0,0,0,0,1.8,0.85,1.25,0,1.38,8,0,0,2.17,0,0
 36-46,0,0,0,0.79,1.26,3.14,1.13,0,1.03,0,0,0,0,0,0,0,1.8,0,0,42.21,0,0,0,0,15.03,0,0,2.58,0.6,5.32,0,0,0.65,0,0
 48-58,0,0,0,0,0,6.14,0,0,0,1.01,0,0,0,0,0,0,0.51,0,0,9.82,0,0.39,0,0,0,0,0,6.36,0,3.5,0,0,0,0,0
 60-70,0,0,0,3.72,0,19.95,5.91,0,0,0,2.23,0,0,0,0,0,8.32,0,0,43.11,0,0,0,0,2.79,0,1.06,1.01,0,1.35,3.21,0,0,0,0.97
 72-82,0,0,0,5.53,0,24.18,0,1.48,0,8.96,0,0.5,0.7,1.1,0,0.72,3.26,0,2.8,21.48,0,2.52,0,0,0.49,0,0,0,0,2.58,0.81,0,0,0,0
 84-94,0,0,0,0.82,0,3.48,0,0,0,5.01,0,0,0,0.61,0,0,1.53,1.84,0,32.62,0,0.57,0,0,0,0,0,0,0,3.83,0,0.71,0,0,0
 96-106,0,0,0,0,0,1.45,0,0,0,2.38,0,0,0.86,0.87,0,0,5.78,0,0,2.94,0,0.98,0,0,1.3,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.6,0,0.58,4.86,0,1.27,0,5.07,0.48,0,0,0.45,0,1.46,1.96,1.3,0,7.77,5.76,0.67,0,0,0.65,0,0,0.47,0,0,0,0,0,1.68,1.15
120,0,0,0,3.75,2.5,0,0,0,0,0,0,0,2.72,2.06,3.01,0,16.76,0,2.85,8.91,0,9.06,0,17.39,4.53,0,0,0,0,0,0,0,1.15,0,0
