stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,xanthophores
  3-4,62.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.28,0,0,0,0,0,0
 14-21,0,0,0,1.17,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.6,1.78,0.78,0,0,0,1.49,0
 36-46,0,0,0,0,0,0,0,0,0,2.86,0,0,2.43,1.67,3.78,0,0,0,9.67
 48-58,0,0,0,0,0,0.4,0,0,0,2.68,0,0,5.89,0,0,0,0.77,0,4.53
 60-70,0,0,0,0,0,0,0,0,0,2.87,0,0,8.45,0.6,0,0,0,0,0
 72-82,0,0,0,8.31,1.51,0,0,0,0,7.56,0,4.56,14.11,0,11.22,0,0,0,0
 84-94,0,0,1.24,0,4.26,0,0,0,0,2.26,0,0,0,0,28.31,0,0,0,0
 96-106,0,0,0,0,2.43,0,0,0.71,2.52,2.28,1.52,0,0,1.2,52.58,0,1.53,23.09,0
108-118,0,2.35,0,8.51,12.39,0,0,0.61,0,14.75,0,0.48,3.38,0.57,40.18,0,0,1.61,0
120,0,0,0,5.01,3.59,0,2.52,0,0,1.04,0,0,30.63,0,49.44,0,0,0,0
