stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,2.22,90.99,16.85,0,40.07,0,9.82,0,38.09,4.29,1.69,1.88,0,1.34,0.87,0,2.77,0,54.5,0,0,794.55,714.43,84.65,3.79,2.97,18.2,0,29.89,0,96.03,13.91,6282.92,70376.8,172.41,0,0,8.41,0,0
 24-34,0,6.54,30.8,812.6,146.03,0,1597.39,66127.55,56.49,32.42,271.47,38.35,21.33,80.33,88.26,100.85,33.03,42.14,196.33,145.45,1475.83,34.21,11.22,8229.32,19687.6,210.35,187.94,132.93,1,10.63,1492.76,0,33.75,91.33,1833.34,60638.1,2484.14,0,0,851.36,0,264.25
 36-46,0,9.02,3.7,631.06,67.17,0,2627.49,140739.73,116.85,83.42,724.15,20.49,12.42,52.6,117.38,89.74,49.62,27.66,173.57,355.44,1674.52,36.13,26.71,5360.02,17771.63,186.7,177.11,115.53,71.05,16.42,1566.58,1.69,7.22,104.79,653.26,4083.47,3566.25,0,0.85,453.82,0,462.89
 48-58,1.93,5.5,0.44,807.75,356.7,0,10750.29,130020.56,192.1,247.28,2317.76,26.74,23.56,92.41,229.9,27.17,111.2,54.38,170.06,534.41,3875.51,75.8,95.09,5654.63,34263.24,303.66,141.92,165.66,4.77,8.69,1172.66,1.31,0.92,48.41,509.35,0,6440.58,0,15.64,549.83,4.01,1862.52
 60-70,0,1.71,2.79,653.75,277.38,0,10045.2,71629.96,210.65,119.18,1409.21,55.35,24.67,42.46,180.34,83.26,66.89,31.03,100.83,221.54,2506.45,72.33,140.47,5074.14,17946.99,152.2,94.11,112.42,321.2,12.28,976.29,0,8.06,44.69,391.37,0,2577.86,5.36,21.71,222.92,7,1050.09
 72-82,0,20.49,1.12,436.34,731.62,12.48,9521.79,50000.88,137.69,350.47,1495.18,69.94,1.17,65.03,241.33,33.86,147.48,56.28,246.59,116.41,3403.65,68.4,183.69,4677.22,15612.44,38.18,124.19,91.39,156.46,37.77,699.73,2.22,4.38,15.93,302.93,0,1625.8,57.4,72.92,531.2,80.89,1042.23
 84-94,0.62,74.01,3.01,1212.83,2257.08,46,13419.65,85181.54,277.34,249.69,2132.42,159.62,8.58,55.63,290.91,106.66,252.83,73.03,281.45,312.43,4872.6,137.55,266.14,4875.74,18668.98,137.02,173.09,229.6,0,76.79,3450.55,4.2,0,65.07,124.2,0,1998.78,104.71,116.42,635.31,191.11,967.01
 96-106,0,90.11,7.55,2557.62,5712.79,125.4,23125.91,139688.24,1179.11,520.81,4649.73,440.32,4.5,167.7,646.97,241.52,387.23,242.81,2120.61,305.43,9058.27,374.25,424.31,8676.67,29568.68,126.18,462.45,452.33,20.3,320.98,4977.5,19.45,0,71.59,134.92,0,1412.95,237.84,206.97,1609.21,329.06,2030.35
108-118,0,39.26,0.77,1804.83,1676.87,224.4,15892.51,106761.88,353.21,318.89,3231.58,442.09,2.74,68.94,435.04,142.99,380.77,101.55,953.41,208.04,7246.79,256.8,259.83,11806.55,23629.08,111.92,253.2,285.48,16.21,257.56,3024.75,0,0,50.03,118.03,0,896.8,106.25,180.58,863.7,175.6,1191.52
120,0,21.02,0,913.48,990.11,58.56,7654.47,61978.87,127.26,217.85,2073.51,237.8,0,65.8,202.04,52.18,204.51,23.94,313.57,70.39,3826.52,59.2,153.12,7392.26,14870.92,68.85,201.98,149.24,0,220.85,1018,0,2.24,32.12,168.33,0,457.31,63.8,122.8,533.75,82.77,464.79
