stage,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,neural,spinal_cord,vasculature
 24-34,0,0,0,0,0,0,0,0.76,0
 36-46,0,0,0,1.01,0,0,9.1,0,0
 48-58,0,1,0,0,0,1.03,12.12,1.64,0.44
 60-70,0,1.39,0,0,0,0,14.04,6.14,0
 72-82,0.65,0,0,0,0,0.72,9.17,0,0
 84-94,0,2.37,0,0,0,0.78,6.59,0,5.91
 96-106,0,1.88,0.9,0,1.53,0,8.19,0,0
108-118,0,0.97,0,0,0,4.06,0,0,0
120,0,0,0,0,0,0,11.71,0,0
