stage,eye,glial,mesenchyme,muscle,neural,otic,spinal.cord,xanthophores
 14-21,0,0,0,1.3,0,0,0,0
 24-34,0,0,0,0,4.09,0,0,0
 36-46,0,1.05,0,0,10.12,0,1.22,0
 48-58,0.83,0,0,0,12.03,0,1.51,0
 60-70,0,0,0.67,0,8.38,0.63,3.6,0
 72-82,2.2,0,0,0,41.57,0,1.64,2.54
 84-94,0.73,0,0,0,15.94,0.69,2.98,0
 96-106,0,0,2.09,0,27.63,0.73,2.25,0
108-118,0,0,0,0,8.42,0.74,0,0
120,0,0,0,0,8.6,0,0,0
