stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.81,40.87,11.67,0.84,0,0,39.27,1.08,0,1.01,0,0,0,0,0,9.65,0,0,4.58,113.93,2.47,0.87,5.79,5.39,2.35,2.65,17.33,35.7,1.2,6.21,115.61,0,0,1.03,0,0
 24-34,0,2.02,8.49,0,13.73,0,0,30.78,0.74,0,0,0,0,0,6.87,0,21.13,0.63,0,5.04,127.69,1.6,7.93,14.16,0,3.22,0,0,11.37,0,3.98,91.97,0,0,22.17,0,0
 36-46,0,0,2.86,0,10.74,0,0.65,33.08,0.56,0,0.73,0,1.63,0,6.11,0,18.71,0,0,19.08,96.85,0,4.78,7.64,0,4.32,0,0,9,0,0,76.19,0,0,14.03,0,0
 48-58,0,0,2.22,0,25.28,0,0,42.65,0,0.37,1.07,0,0.39,0,3.34,0,26.43,0,0,2.19,58.98,0,19.06,7.47,0,1.23,0,0,2.69,0,0,48.24,0,0,5.85,0,0
 60-70,0.65,0,1.36,0,37.53,3.04,0.75,33.95,0,0,0,0,0,0,2.08,0,42.83,2.63,0.76,11.11,61.58,0,14.83,6.89,0,6.2,0,0,7.73,0,0,37.05,0,0.84,2.71,3.36,0
 72-82,0,0,6.61,0,32.96,0,1.67,37.67,0,0,2.47,1.55,0,0.59,7.16,0,40.43,0,0,0.54,37.15,0,4.98,17.73,0,0.54,0,0,2.24,0,0,12.99,1.96,1.14,19.66,4.34,0
 84-94,0,0,16.27,0,33.99,0,3.49,27.97,0,0,0.97,1.1,0.62,1.4,5.09,0.6,39.71,0,4.9,5.08,31.58,0,23.93,24.12,0,6.26,0,0,5.22,0,0,22.49,0,0,22.14,0,1.67
 96-106,3.4,0,10.8,0,23.17,5.58,0,28.03,1.78,0,1.6,1.61,1.75,0.6,12.09,0,42.08,0,0,2.8,19.87,0,14.67,19.96,0,7.02,0,0,0,0,0,4.96,0,0,11.94,1.89,1.41
108-118,0,0,6.43,0,27.62,0.46,3.48,28.02,1.45,0,1.35,1.77,0.92,13.87,7.77,0,63.31,0,3.55,2.28,40.45,0,7.82,18.64,0,3.72,0,0,2.38,0,0,13.15,0,1.82,13.76,2.08,2.09
120,0,0,0,0,25.93,0,0,26.2,1.12,0,0,0,0,1.43,5.15,4.74,34.75,0,0,0,10.72,0,2.97,14.01,0,4.82,0,0,0,0,0,2.14,0,1.56,5.1,1.45,0
